VARIANT CALLER POSTFILTER,PtX_9299,1 Heterozygous,185040
VARIANT CALLER POSTFILTER,PtX_9299,1 Homozygous,178867
VARIANT CALLER POSTFILTER,PtX_9299,1 Het/Hom ratio,1.034
VARIANT CALLER POSTFILTER,PtX_9299,2 Heterozygous,108602
VARIANT CALLER POSTFILTER,PtX_9299,2 Homozygous,165145
VARIANT CALLER POSTFILTER,PtX_9299,2 Het/Hom ratio,0.657
VARIANT CALLER POSTFILTER,PtX_9299,3 Heterozygous,151105
VARIANT CALLER POSTFILTER,PtX_9299,3 Homozygous,156647
VARIANT CALLER POSTFILTER,PtX_9299,3 Het/Hom ratio,0.964
VARIANT CALLER POSTFILTER,PtX_9299,4 Heterozygous,104362
VARIANT CALLER POSTFILTER,PtX_9299,4 Homozygous,152233
VARIANT CALLER POSTFILTER,PtX_9299,4 Het/Hom ratio,0.685
VARIANT CALLER POSTFILTER,PtX_9299,5 Heterozygous,135844
VARIANT CALLER POSTFILTER,PtX_9299,5 Homozygous,197179
VARIANT CALLER POSTFILTER,PtX_9299,5 Het/Hom ratio,0.688
VARIANT CALLER POSTFILTER,PtX_9299,6 Heterozygous,117068
VARIANT CALLER POSTFILTER,PtX_9299,6 Homozygous,198880
VARIANT CALLER POSTFILTER,PtX_9299,6 Het/Hom ratio,0.588
VARIANT CALLER POSTFILTER,PtX_9299,7 Heterozygous,118652
VARIANT CALLER POSTFILTER,PtX_9299,7 Homozygous,191030
VARIANT CALLER POSTFILTER,PtX_9299,7 Het/Hom ratio,0.621
VARIANT CALLER POSTFILTER,PtX_9299,8 Heterozygous,124694
VARIANT CALLER POSTFILTER,PtX_9299,8 Homozygous,167640
VARIANT CALLER POSTFILTER,PtX_9299,8 Het/Hom ratio,0.743
VARIANT CALLER POSTFILTER,PtX_9299,9 Heterozygous,193915
VARIANT CALLER POSTFILTER,PtX_9299,9 Homozygous,121576
VARIANT CALLER POSTFILTER,PtX_9299,9 Het/Hom ratio,1.595
VARIANT CALLER POSTFILTER,PtX_9299,10 Heterozygous,153845
VARIANT CALLER POSTFILTER,PtX_9299,10 Homozygous,157219
VARIANT CALLER POSTFILTER,PtX_9299,10 Het/Hom ratio,0.978
VARIANT CALLER POSTFILTER,PtX_9299,11 Heterozygous,145515
VARIANT CALLER POSTFILTER,PtX_9299,11 Homozygous,144117
VARIANT CALLER POSTFILTER,PtX_9299,11 Het/Hom ratio,1.009
VARIANT CALLER POSTFILTER,PtX_9299,12 Heterozygous,100895
VARIANT CALLER POSTFILTER,PtX_9299,12 Homozygous,171826
VARIANT CALLER POSTFILTER,PtX_9299,12 Het/Hom ratio,0.587
VARIANT CALLER POSTFILTER,PtX_9299,13 Heterozygous,109999
VARIANT CALLER POSTFILTER,PtX_9299,13 Homozygous,137978
VARIANT CALLER POSTFILTER,PtX_9299,13 Het/Hom ratio,0.797
VARIANT CALLER POSTFILTER,PtX_9299,14 Heterozygous,142762
VARIANT CALLER POSTFILTER,PtX_9299,14 Homozygous,150524
VARIANT CALLER POSTFILTER,PtX_9299,14 Het/Hom ratio,0.948
VARIANT CALLER POSTFILTER,PtX_9299,15 Heterozygous,152260
VARIANT CALLER POSTFILTER,PtX_9299,15 Homozygous,104686
VARIANT CALLER POSTFILTER,PtX_9299,15 Het/Hom ratio,1.454
VARIANT CALLER POSTFILTER,PtX_9299,16 Heterozygous,195609
VARIANT CALLER POSTFILTER,PtX_9299,16 Homozygous,150172
VARIANT CALLER POSTFILTER,PtX_9299,16 Het/Hom ratio,1.302
VARIANT CALLER POSTFILTER,PtX_9299,17 Heterozygous,147632
VARIANT CALLER POSTFILTER,PtX_9299,17 Homozygous,185783
VARIANT CALLER POSTFILTER,PtX_9299,17 Het/Hom ratio,0.794
VARIANT CALLER POSTFILTER,PtX_9299,18 Heterozygous,156683
VARIANT CALLER POSTFILTER,PtX_9299,18 Homozygous,103799
VARIANT CALLER POSTFILTER,PtX_9299,18 Het/Hom ratio,1.509
VARIANT CALLER POSTFILTER,PtX_9299,19 Heterozygous,162410
VARIANT CALLER POSTFILTER,PtX_9299,19 Homozygous,155721
VARIANT CALLER POSTFILTER,PtX_9299,19 Het/Hom ratio,1.042
VARIANT CALLER POSTFILTER,PtX_9299,20 Heterozygous,196344
VARIANT CALLER POSTFILTER,PtX_9299,20 Homozygous,127102
VARIANT CALLER POSTFILTER,PtX_9299,20 Het/Hom ratio,1.544
VARIANT CALLER POSTFILTER,PtX_9299,21 Heterozygous,173711
VARIANT CALLER POSTFILTER,PtX_9299,21 Homozygous,123348
VARIANT CALLER POSTFILTER,PtX_9299,21 Het/Hom ratio,1.408
VARIANT CALLER POSTFILTER,PtX_9299,22 Heterozygous,112960
VARIANT CALLER POSTFILTER,PtX_9299,22 Homozygous,133713
VARIANT CALLER POSTFILTER,PtX_9299,22 Het/Hom ratio,0.844
VARIANT CALLER POSTFILTER,PtX_9299,X Heterozygous,173653
VARIANT CALLER POSTFILTER,PtX_9299,X Homozygous,162244
VARIANT CALLER POSTFILTER,PtX_9299,X Het/Hom ratio,1.070
VARIANT CALLER POSTFILTER,PtX_9299,Y Heterozygous,173577
VARIANT CALLER POSTFILTER,PtX_9299,Y Homozygous,195061
VARIANT CALLER POSTFILTER,PtX_9299,Y Het/Hom ratio,0.889
