# HOMER Peaks
# Peak finding parameters:
# tag directory = /hpcdata/sg/sg_data/illumina_hiseq_processed/170407_D00638_0265_AC82GUACXX/piperun_full/anals_output/Data/homerpre/Project_ATACseq/Sample_H12
#
# total peaks = 28592
# peak size = 1000
# peaks found using tags on both strands
# minimum distance between peaks = 2500
# fragment length = 210
# genome size = 2000000000
# Total tags = 13325162.5
# Total tags in peaks = 3561820.5
# Approximate IP efficiency = 26.73%
# tags per bp = 0.006140
# expected tags per peak = 6.140
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# FDR rate threshold = 0.100000000
# FDR effective poisson threshold = 6.479868e-04
# FDR tag threshold = 16.0
# number of putative peaks = 37486
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 8892
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 2
#
# cmd = /hpcdata/sg/sg_data/users/narayananm/tools/homer/bin/findPeaks /hpcdata/sg/sg_data/illumina_hiseq_processed/170407_D00638_0265_AC82GUACXX/piperun_full/anals_output/Data/homerpre/Project_ATACseq/Sample_H12 -size 1000 -minDist 2500 -fdr 0.10 -o /hpcdata/sg/sg_data/illumina_hiseq_processed/170407_D00638_0265_AC82GUACXX/piperun_full/anals_output/Data/homer/Project_ATACseq/Sample_H12/H12.peaks1kb.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	Not used	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr3-2	chr3	115147042	115148042	+	1142.6	0.000	699.000000	38.71	0.00e+00	1.12
chr5-1	chr5	151771194	151772194	+	1060.4	0.000	644.000000	49.20	0.00e+00	1.18
chr3-53	chr3	93470068	93471068	+	1047.3	0.000	380.500000	12559.50	0.00e+00	1.98
chr3-1	chr3	120094374	120095374	+	1021.4	0.000	703.500000	18.73	0.00e+00	1.06
chr10-1	chr10	74825968	74826968	+	995.5	0.000	632.000000	30.97	0.00e+00	1.18
chr3-3	chr3	167734557	167735557	+	984.6	0.000	665.500000	45.07	0.00e+00	1.10
chr7-1	chr7	21427067	21428067	+	944.1	0.000	638.500000	23.74	0.00e+00	1.13
chr4-1	chr4	102827447	102828447	+	941.1	0.000	632.000000	23.06	0.00e+00	1.14
chr2-5	chr2	30146190	30147190	+	933.2	0.000	559.500000	44.59	0.00e+00	1.28
chr3-5	chr3	36992829	36993829	+	926.1	0.000	599.500000	93.72	0.00e+00	1.19
chr7-2	chr7	108525783	108526783	+	912.2	0.000	607.000000	85.46	0.00e+00	1.17
chr2-4	chr2	207529379	207530379	+	867.2	0.000	570.500000	26.43	0.00e+00	1.22
chr3-6	chr3	88058482	88059482	+	865.3	0.000	588.500000	61.22	0.00e+00	1.17
chr9-4	chr9	79571272	79572272	+	864.5	0.000	542.000000	25.44	0.00e+00	1.27
chr7-5	chr7	107168091	107169091	+	857.4	0.000	546.000000	26.33	0.00e+00	1.26
chr13-1	chr13	49443746	49444746	+	849.1	0.000	561.000000	80.50	0.00e+00	1.22
