# Version: v1.0.25
example_run_id
Level          ,Yield          ,Projected Yield,Aligned        ,Error Rate     ,Intensity C1   ,%>=Q30         
Read 1         ,137.94         ,137.94         ,0.59           ,0.12           ,439            ,96.46          
Read 2 (I)     ,19.30          ,19.30          ,0.00           ,nan            ,672            ,94.27          
Non-indexed    ,137.94         ,137.94         ,0.59           ,0.12           ,439            ,96.46          
Total          ,157.24         ,157.24         ,0.59           ,0.12           ,556            ,96.19          


Read 1
Lane           ,Surface        ,Tiles          ,Density        ,Cluster PF     ,Phas/Prephas   ,Phasing Equation,Prephas Equation,Reads          ,Reads PF       ,%>=Q30         ,Yield          ,Cycles Error   ,Aligned        ,Error          ,Error (35)     ,Error (75)     ,Error (100)    ,Intensity C1   
1              ,-              ,112            ,2355 +/- 0     ,74.52 +/- 0.94 ,0.116 / 0.066  ,0.094*c + 1.464,0.064*c - 0.054,482.99         ,359.93         ,96.87          ,18.02          ,50             ,0.67 +/- 0.04  ,0.11 +/- 0.14  ,0.10 +/- 0.14  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,435 +/- 10     
1              ,1              ,56             ,2355 +/- 0     ,74.40 +/- 0.69 ,0.116 / 0.064  ,0.093*c + 1.538,0.062*c - 0.026,241.49         ,179.67         ,96.69          ,8.99           ,-              ,0.65 +/- 0.03  ,0.09 +/- 0.01  ,0.08 +/- 0.01  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,432 +/- 11     
1              ,2              ,56             ,2355 +/- 0     ,74.64 +/- 1.14 ,0.116 / 0.068  ,0.096*c + 1.390,0.065*c - 0.083,241.49         ,180.26         ,97.05          ,9.02           ,-              ,0.68 +/- 0.04  ,0.14 +/- 0.19  ,0.11 +/- 0.20  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,437 +/- 9      
2              ,-              ,112            ,2355 +/- 0     ,73.61 +/- 0.87 ,0.115 / 0.066  ,0.092*c + 1.454,0.064*c - 0.049,482.99         ,355.50         ,96.73          ,17.81          ,50             ,0.72 +/- 0.04  ,0.09 +/- 0.05  ,0.09 +/- 0.05  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,427 +/- 10     
2              ,1              ,56             ,2355 +/- 0     ,73.36 +/- 0.77 ,0.114 / 0.065  ,0.091*c + 1.499,0.064*c - 0.030,241.49         ,177.15         ,96.50          ,8.87           ,-              ,0.71 +/- 0.04  ,0.09 +/- 0.01  ,0.08 +/- 0.01  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,429 +/- 12     
2              ,2              ,56             ,2355 +/- 0     ,73.85 +/- 0.90 ,0.115 / 0.067  ,0.093*c + 1.408,0.064*c - 0.068,241.49         ,178.35         ,96.95          ,8.93           ,-              ,0.73 +/- 0.04  ,0.10 +/- 0.07  ,0.09 +/- 0.07  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,426 +/- 9      
3              ,-              ,112            ,2355 +/- 0     ,73.64 +/- 0.87 ,0.113 / 0.065  ,0.092*c + 1.430,0.063*c - 0.054,482.99         ,355.66         ,96.66          ,17.81          ,50             ,0.62 +/- 0.03  ,0.15 +/- 0.23  ,0.13 +/- 0.20  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,441 +/- 12     
3              ,1              ,56             ,2355 +/- 0     ,73.42 +/- 0.82 ,0.114 / 0.064  ,0.091*c + 1.478,0.063*c - 0.049,241.49         ,177.31         ,96.52          ,8.88           ,-              ,0.63 +/- 0.01  ,0.09 +/- 0.01  ,0.08 +/- 0.01  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,446 +/- 13     
3              ,2              ,56             ,2355 +/- 0     ,73.85 +/- 0.87 ,0.112 / 0.065  ,0.092*c + 1.382,0.064*c - 0.058,241.49         ,178.34         ,96.81          ,8.93           ,-              ,0.61 +/- 0.04  ,0.21 +/- 0.32  ,0.19 +/- 0.28  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,436 +/- 8      
4              ,-              ,112            ,2355 +/- 0     ,69.76 +/- 1.16 ,0.114 / 0.066  ,0.091*c + 1.476,0.063*c - 0.033,482.99         ,336.91         ,96.18          ,16.87          ,50             ,0.47 +/- 0.03  ,0.14 +/- 0.18  ,0.14 +/- 0.19  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,423 +/- 24     
