intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative
3626000,0.06811692215208896,0.8662207357859532,0.06811692215208896,0.07065442807422502,1.0805295091009377,1.0,0.3896359280984241,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_003335355.1 Brachybacterium alimentarium strain=738_10, ASM333535v1",7997f3b790f1efc154152b58762ff881,0.8662207357859532,3626000,0,25566000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.9349308322748068,0.9953779562311899,0.9651543942529983,0.9953779562311899,False
3401000,0.06389014126840997,0.8231441048034934,0.06373985572587917,0.06674120426306962,1.090775125257884,1.0,0.42748252478336257,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_003335365.1 Brevibacterium aurantiacum strain=876_7, ASM333536v1",a7128dae49db25b116ab6d0562568548,0.8250849102377487,3393000,1,22173000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.9330008195075162,0.993816969048675,0.9634088942780956,0.993816969048675,False
2901000,0.05449729486023445,0.717292089249493,0.05314472497745717,0.053594936252321784,1.0505478967833157,1.0,0.27488977241382706,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_004745075.1 Brevibacterium sp. S111 strain=S111, ASM474507v1",3c41caea215bbb8561eb3f1ff5a3c59d,0.7355476673427992,2829000,2,19344000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.928227260239959,0.9901411802288261,0.9591842202343925,0.9901411802288261,False
2701000,0.05074015629696423,0.9023897677549647,0.05036444244063721,0.05040304401925955,1.0425214472211861,1.0,0.3461045301245935,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_900163675.1 Corynebacterium sp. JB4 strain=JB4, ASM90016367v1",d9509d286d2ed617e208220d855afb7d,0.9091215079097947,2681000,3,16663000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.9260908047288345,0.9969312819871796,0.9615110433580071,0.9969312819871796,False
2535000,0.04762173128944996,0.8371324743970928,0.047602945596633604,0.047463617838529926,1.0386740331491713,1.0,0.2796787146105827,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_000297455.1 Staphylococcus equorum subsp. equorum Mu2 strain=Mu2, ASM29745v1",c859fad8288d38c7f047ee7adae6f201,0.8374628344895937,2534000,4,14129000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.9241978873060818,0.9942944551534226,0.9592461712297522,0.9942944551534226,False
1861000,0.03496017433122934,0.6839587932303164,0.03492260294559663,0.035363280616017165,1.0548682087143626,1.0,0.2369832848654378,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_019120175.1 Candidatus Corynebacterium faecigallinarum, ASM1912017v1",3333fea534e775767acecabbc1afa0a3,0.6846946284032377,1859000,5,12270000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.9150291300326969,0.9878555611406682,0.9514423455866825,0.9878555611406682,False
1603000,0.03011346558461076,0.5660511363636364,0.0299443943492636,0.02986312733305682,1.0388958594730238,1.0,0.2234502697062358,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_900163565.1 Agrococcus casei LMG 22410 strain=LMG 22410, ASM90016356v1",456c5de009522e30c1c79992148dcbab,0.5692471590909091,1594000,6,10676000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.9106346743406268,0.9819886761731359,0.9463116752568814,0.9819886761731359,False
712000,0.01337541328524196,0.17793401838831802,0.012360985873159001,0.01210033722251276,1.0197568389057752,1.0,0.20160134415947523,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_900169375.1 Brevibacterium sp. Mu109 strain=Mu109, Assembly_BSP109",eeb6fa92d0757a4b0b2ddf601bc4cafa,0.19253650621957816,658000,7,10018000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.8871043611207793,0.9482432873397378,0.9176738242302586,0.9482432873397378,False
3355000,0.06302599939885783,0.14966793168880455,0.011853772167117523,0.011938037617441798,1.0491283676703644,1.0,0.24370691330258112,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_002332325.1 Brevibacterium aurantiacum strain=962_8, ASM233232v1",d8a219e9bfe24ee158b9fc63b6e36183,0.7957779886148008,631000,8,9387000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.9325910592408,0.9926582112890411,0.9626246352649206,0.9926582112890411,False
519000,0.009749774571686205,0.17410265011741027,0.009749774571686205,0.009774042883162318,1.0443159922928709,1.0,0.6714386994535113,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_001921755.1 Psychrobacter sp. Rd 27.2 strain=Rd 27.2, ASM192175v1",8377aa0ce73f49d8e4a1335b36fcb8b7,0.17410265011741027,519000,9,8868000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.8781026229778838,0.9451698313207348,0.9116362271493093,0.9451698313207348,False
460000,0.00864141869552149,0.19119496855345913,0.008566275924256087,0.00831334643752367,1.0109649122807018,1.0,0.1041378076366997,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_019117025.1 Candidatus Microbacterium stercoravium, ASM1911702v1",9b0609d07a3f56e3c19da664f1809ef9,0.1928721174004193,456000,10,8412000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.8746909730470122,0.9482965613488935,0.9114937671979528,0.9482965613488935,False
453000,0.008509918845807034,0.18174507438681142,0.008491133152990682,0.008241213279714353,1.011061946902655,1.0,0.10459244826170629,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_005864045.1 Facklamia tabacinasalis strain=FAM 24227, ASM586404v1",77748459730c859a2ab157e73e229d58,0.18214716525934863,452000,11,7960000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.8742584081134376,0.9465480357884202,0.9104032219509288,0.9465480357884202,False
407000,0.007645776976254884,0.19214387127307148,0.0076269912834385336,0.007429715254359548,1.0147783251231528,1.0,0.139592387342904,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_900109085.1 Alkalibacterium gilvum strain=DSM 25751, IMG-taxon 2616644817 annotated assembly",a839f934bff1f98f912878fb53519420,0.1926171320397539,406000,12,7554000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.8712437897368392,0.9482560938605241,0.9097499417986816,0.9482560938605241,False
3209000,0.060283288247670576,0.07276657060518732,0.005692064923354373,0.0058788523614592535,1.0759075907590758,1.0,0.26485019997015025,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_002332225.1 Brevibacterium aurantiacum strain=JB5, ASM233222v1",aea300f60ac824c5884906cd1dc8d3b1,0.7706532180595581,303000,13,7251000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.9312535282705978,0.9916314455685439,0.9614424869195708,0.9916314455685439,False
3471000,0.06520513976555456,0.06770954938127481,0.00544785091674181,0.005698519466935964,1.089655172413793,1.0,0.28568710589252383,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_002332305.1 Brachybacterium alimentarium strain=341_9, ASM233230v1",9fab8c7ed022d701192da4bc130db8d1,0.8104132617324306,290000,14,6961000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.9336141901065282,0.9932419403266162,0.9634280652165722,0.9932419403266162,False
266000,0.0049969942891493835,0.0369740756481088,0.004903065825067629,0.004706688547057869,1.0,1.0,0.0,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_900143625.1 Nocardiopsis sp. JB363 strain=JB363, ASM90014362v1",fe4ca03438a38cf73b96c41c08660106,0.0376823912735515,261000,15,6700000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.8593720385602818,0.8996404671582264,0.8795062528592541,0.8996404671582264,False
306000,0.005748422001803427,0.06976082004555809,0.004602494740006012,0.0045083223630822495,1.0204081632653061,1.0,0.16779432482526094,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_014400405.1 Brachybacterium sp. Z12 strain=Z12, ASM1440040v1",4dfbb0efc26bdfda989a33d5d2294e63,0.08712984054669703,245000,16,6455000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.863264323048907,0.9242976228600193,0.8937809729544631,0.9242976228600193,False
260000,0.004884280132251277,0.08701957940536621,0.004508566275924256,0.004400122626368276,1.0166666666666666,1.0,0.12801909579781018,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_005864315.1 Marinilactibacillus psychrotolerans strain=FAM 24235, ASM586431v1",3ca7ffbf7883ae20a021c0e17268df25,0.09427121102248005,240000,17,6215000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.8587398100695806,0.9266494117736962,0.8926946109216384,0.9266494117736962,False
2335000,0.04386459272617974,0.07769929364278506,0.004339495040577097,0.004364056047463618,1.0476190476190477,1.0,0.23239940314232982,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_001747815.1 Staphylococcus equorum strain=947_12, ASM174781v1",a83fba77e90466c05a72db2c486456ed,0.7854019508913556,231000,18,5984000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.9217510611992275,0.9922380339850327,0.9569945475921301,0.9922380339850327,False
363000,0.006819206492335438,0.04107142857142857,0.0034565674782085962,0.0035886246010134707,1.0815217391304348,1.0,0.27363469293856746,/home/ubuntu/2022-prjna853785-sourmash/inputs/sourmash_databases/genbank-2022.03-bacteria-k31.zip,"GCA_004745485.1 Brevibacterium sp. S22 strain=S22, ASM474548v1",4ed53bbd9694d1b411ee3a4b2bebfdfc,0.08102678571428572,184000,19,5800000,inputs/raw/SRR19888423ass.fasta,SRR19888423,4f6f5ed4,53232000,31,DNA,1000,53232,True,0.8680342544793571,0.9221349260438085,0.8950845902615828,0.9221349260438085,False
