id,strand,fivelen,threelen,polyAlen,insertlen,primer
m64014_190506_005857/985019/ccs,+,22,23,114,4506,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/985721/ccs,+,24,25,31,4326,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/985769/ccs,+,25,23,30,3137,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1048588/ccs,+,23,26,31,1563,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1048607/ccs,+,23,22,29,1730,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1048997/ccs,+,25,23,29,3254,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1049516/ccs,+,25,24,30,2259,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1049736/ccs,+,23,25,28,3670,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1050124/ccs,+,25,23,31,2719,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1050144/ccs,+,22,23,29,2225,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1050192/ccs,+,23,21,114,3152,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1050349/ccs,+,23,25,31,2318,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1050667/ccs,+,22,25,30,2880,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1050876/ccs,+,23,25,28,2159,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1051231/ccs,+,25,23,29,1754,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1051319/ccs,+,25,22,27,2978,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1114143/ccs,+,21,23,31,2243,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1114340/ccs,+,21,25,32,1871,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1114528/ccs,+,25,24,30,3143,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1114677/ccs,+,19,25,29,1782,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1115117/ccs,+,25,23,116,2090,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1115191/ccs,+,25,23,28,1548,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1115197/ccs,+,25,21,31,1730,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1115887/ccs,+,21,25,31,2510,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1116262/ccs,+,25,24,28,3058,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1116328/ccs,+,23,25,30,2184,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1116575/ccs,+,25,23,31,3836,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1116654/ccs,+,25,22,33,2120,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1116911/ccs,+,22,25,31,1290,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1179709/ccs,+,24,24,59,2428,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1179931/ccs,+,23,23,31,2155,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1179983/ccs,+,25,23,31,2318,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1180161/ccs,+,25,23,28,2514,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1180533/ccs,+,25,23,28,5150,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1180661/ccs,+,21,24,31,1810,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1180664/ccs,+,23,25,29,2791,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1180691/ccs,+,25,23,30,3497,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1180786/ccs,+,25,19,30,3385,NEB_5p--NEB_Clontech_3p
