#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
oligo_1512_adapters	1	156	10	156	100	7.26282	18.4	29.6
oligo_741_adapters	1	156	0	0	0	0	0	0
oligo_677_adapters	1	156	0	0	0	0	0	0
oligo_1932_adapters	1	156	0	0	0	0	0	0
oligo_1471_adapters	1	156	0	0	0	0	0	0
oligo_3213_adapters	1	156	0	0	0	0	0	0
oligo_2725_adapters	1	156	0	0	0	0	0	0
N3032_9_bp_A	1	9	0	0	0	0	0	0
N3032_9_bp_B	1	9	0	0	0	0	0	0
N3032_15_bp	1	15	0	0	0	0	0	0
N3032_26_bp_A	1	26	0	0	0	0	0	0
N3032_26_bp_B	1	26	0	0	0	0	0	0
N3032_34_bp_A	1	34	0	0	0	0	0	0
N3032_34_bp_B	1	34	0	0	0	0	0	0
N3032_67_bp	1	67	0	0	0	0	0	0
N3032_76_bp	1	76	0	0	0	0	0	0
N3032_90_bp	1	90	0	0	0	0	0	0
N3032_110_bp	1	110	0	0	0	0	0	0
N3032_123_bp	1	123	0	0	0	0	0	0
N3032_147_bp_A	1	147	0	0	0	0	0	0
N3032_147_bp_B	1	147	0	0	0	0	0	0
N3032_160_bp_A	1	160	0	0	0	0	0	0
N3032_160_bp_B	1	160	0	0	0	0	0	0
N3032_180_bp	1	180	0	0	0	0	0	0
N3032_190_bp	1	190	0	0	0	0	0	0
N3032_201_bp	1	201	0	0	0	0	0	0
N3032_217_bp	1	217	0	0	0	0	0	0
N3032_238_bp	1	238	0	0	0	0	0	0
N3032_242_bp	1	242	0	0	0	0	0	0
N3032_307_bp	1	307	0	0	0	0	0	0
N3032_404_bp	1	404	0	0	0	0	0	0
N3032_527_bp	1	527	0	0	0	0	0	0
N3032_622_bp	1	619	0	0	0	0	0	0
lambda_3-6kb	1	3591	0	0	0	0	0	0
