read1_position	read2_position	discordance_type	count
10	0	R1:T_R2:G	1
11	0	R1:T_R2:G	1
12	0	R1:G_R2:A	1
12	0	R1:T_R2:G	1
12	1	R1:T_R2:G	1
13	0	R1:A_R2:T	1
13	0	R1:T_R2:A	1
17	7	R1:T_R2:C	1
19	3	R1:A_R2:G	1
20	6	R1:A_R2:G	1
21	8	R1:G_R2:T	1
22	4	R1:G_R2:T	1
23	2	R1:C_R2:A	1
23	3	R1:T_R2:A	1
23	12	R1:A_R2:C	1
23	12	R1:A_R2:T	1
24	0	R1:C_R2:A	1
24	10	R1:T_R2:C	1
25	5	R1:T_R2:A	1
25	9	R1:T_R2:A	1
26	13	R1:A_R2:G	1
26	15	R1:C_R2:G	1
27	9	R1:T_R2:G	1
27	10	R1:C_R2:G	1
27	13	R1:C_R2:G	1
27	15	R1:A_R2:T	1
28	0	R1:G_R2:C	1
28	1	R1:G_R2:A	1
28	2	R1:G_R2:C	1
28	3	R1:A_R2:G	1
28	5	R1:T_R2:C	1
28	10	R1:G_R2:C	1
28	13	R1:T_R2:G	1
29	2	R1:A_R2:T	1
29	9	R1:C_R2:G	1
29	17	R1:A_R2:C	1
29	18	R1:A_R2:T	1
30	3	R1:C_R2:G	1
30	15	R1:G_R2:A	1
30	20	R1:T_R2:G	1
