COVERAGE SUMMARY,,Aligned bases,1915391714
COVERAGE SUMMARY,,Aligned bases in genome,1140828852,0.41
COVERAGE SUMMARY,,Average alignment coverage over genome,14.21
COVERAGE SUMMARY,,Uniformity of coverage (PCT > 0.2*mean) over genome,26.99
COVERAGE SUMMARY,,PCT of genome with coverage [1500x: inf),0.01
COVERAGE SUMMARY,,PCT of genome with coverage [1000x: inf),0.016
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x: inf),0.03
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: inf),0.035
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: inf),4.88
COVERAGE SUMMARY,,PCT of genome with coverage [  20x: inf),59.79
COVERAGE SUMMARY,,PCT of genome with coverage [  15x: inf),68.61
COVERAGE SUMMARY,,PCT of genome with coverage [  10x: inf),72.9
COVERAGE SUMMARY,,PCT of genome with coverage [   3x: inf),86.73
COVERAGE SUMMARY,,PCT of genome with coverage [   1x: inf),93.15
COVERAGE SUMMARY,,PCT of genome with coverage [   0x: inf),100.00
COVERAGE SUMMARY,,PCT of genome with coverage [1000x:1500x),0.001
COVERAGE SUMMARY,,PCT of genome with coverage [ 500x:1000x),0.0008
COVERAGE SUMMARY,,PCT of genome with coverage [ 100x: 500x),0.0005
COVERAGE SUMMARY,,PCT of genome with coverage [  50x: 100x),0.86
COVERAGE SUMMARY,,PCT of genome with coverage [  20x:  50x),0.75
COVERAGE SUMMARY,,PCT of genome with coverage [  15x:  20x),0.97
COVERAGE SUMMARY,,PCT of genome with coverage [  10x:  15x),0.43
COVERAGE SUMMARY,,PCT of genome with coverage [   3x:  10x),0.93
COVERAGE SUMMARY,,PCT of genome with coverage [   1x:   3x),0.2
COVERAGE SUMMARY,,PCT of genome with coverage [   0x:   1x),0.009
COVERAGE SUMMARY,,Average chr X coverage over genome,20.5
COVERAGE SUMMARY,,Average chr Y coverage over genome,63.02
COVERAGE SUMMARY,,Average mitochondrial coverage over genome,47.8
COVERAGE SUMMARY,,Average autosomal coverage over genome,62.85
COVERAGE SUMMARY,,Median autosomal coverage over genome,63.89
COVERAGE SUMMARY,,Mean/Median autosomal coverage ratio over genome,8.1
COVERAGE SUMMARY,,Aligned reads,3474506957
COVERAGE SUMMARY,,Aligned reads in genome,2030167155,79.93
