## hicstuff v3.2.4
## distance_law
## columns: start_bp	p(s)	chrom
1	1e-09	ENA|CU329670|CU329670.1
2	1e-09	ENA|CU329670|CU329670.1
3	1e-09	ENA|CU329670|CU329670.1
4	1e-09	ENA|CU329670|CU329670.1
5	0.00230062	ENA|CU329670|CU329670.1
6	1e-09	ENA|CU329670|CU329670.1
7	1e-09	ENA|CU329670|CU329670.1
8	1e-09	ENA|CU329670|CU329670.1
9	1e-09	ENA|CU329670|CU329670.1
10	1e-09	ENA|CU329670|CU329670.1
11	1e-09	ENA|CU329670|CU329670.1
13	0.00230063	ENA|CU329670|CU329670.1
14	1e-09	ENA|CU329670|CU329670.1
15	0.00230063	ENA|CU329670|CU329670.1
17	1e-09	ENA|CU329670|CU329670.1
19	0.00230063	ENA|CU329670|CU329670.1
21	0.00115032	ENA|CU329670|CU329670.1
23	0.00230063	ENA|CU329670|CU329670.1
25	0.00230063	ENA|CU329670|CU329670.1
28	0.0609668	ENA|CU329670|CU329670.1
30	0.117908	ENA|CU329670|CU329670.1
34	0.322089	ENA|CU329670|CU329670.1
37	0.30771	ENA|CU329670|CU329670.1
41	0.315188	ENA|CU329670|CU329670.1
45	0.3589	ENA|CU329670|CU329670.1
49	0.381447	ENA|CU329670|CU329670.1
54	0.384208	ENA|CU329670|CU329670.1
60	0.419485	ENA|CU329670|CU329670.1
66	0.43674	ENA|CU329670|CU329670.1
72	0.479974	ENA|CU329670|CU329670.1
80	0.529726	ENA|CU329670|CU329670.1
88	0.528896	ENA|CU329670|CU329670.1
97	0.559061	ENA|CU329670|CU329670.1
106	0.590226	ENA|CU329670|CU329670.1
117	0.634219	ENA|CU329670|CU329670.1
129	0.647375	ENA|CU329670|CU329670.1
142	0.648135	ENA|CU329670|CU329670.1
156	0.678703	ENA|CU329670|CU329670.1
171	0.664134	ENA|CU329670|CU329670.1
189	0.627709	ENA|CU329670|CU329670.1
207	0.626451	ENA|CU329670|CU329670.1
228	0.614293	ENA|CU329670|CU329670.1
251	0.599939	ENA|CU329670|CU329670.1
276	0.596139	ENA|CU329670|CU329670.1
304	0.580634	ENA|CU329670|CU329670.1
334	0.573094	ENA|CU329670|CU329670.1
368	0.553493	ENA|CU329670|CU329670.1
405	0.536431	ENA|CU329670|CU329670.1
445	0.534607	ENA|CU329670|CU329670.1
490	0.504634	ENA|CU329670|CU329670.1
539	0.489954	ENA|CU329670|CU329670.1
593	0.468677	ENA|CU329670|CU329670.1
652	0.439544	ENA|CU329670|CU329670.1
717	0.410812	ENA|CU329670|CU329670.1
789	0.387086	ENA|CU329670|CU329670.1
868	0.364801	ENA|CU329670|CU329670.1
955	0.341177	ENA|CU329670|CU329670.1
1051	0.314481	ENA|CU329670|CU329670.1
1156	0.284799	ENA|CU329670|CU329670.1
1271	0.267655	ENA|CU329670|CU329670.1
1399	0.24701	ENA|CU329670|CU329670.1
1538	0.223912	ENA|CU329670|CU329670.1
1692	0.211116	ENA|CU329670|CU329670.1
1862	0.191303	ENA|CU329670|CU329670.1
2048	0.175184	ENA|CU329670|CU329670.1
2253	0.156713	ENA|CU329670|CU329670.1
2478	0.142677	ENA|CU329670|CU329670.1
2726	0.132712	ENA|CU329670|CU329670.1
2999	0.121039	ENA|CU329670|CU329670.1
3298	0.107862	ENA|CU329670|CU329670.1
3628	0.0965526	ENA|CU329670|CU329670.1
3991	0.090161	ENA|CU329670|CU329670.1
4390	0.0805779	ENA|CU329670|CU329670.1
4830	0.073725	ENA|CU329670|CU329670.1
5313	0.0654447	ENA|CU329670|CU329670.1
5844	0.0597046	ENA|CU329670|CU329670.1
6428	0.0537593	ENA|CU329670|CU329670.1
7071	0.0496222	ENA|CU329670|CU329670.1
7778	0.0453632	ENA|CU329670|CU329670.1
8556	0.0418629	ENA|CU329670|CU329670.1
9412	0.0379407	ENA|CU329670|CU329670.1
10353	0.0349353	ENA|CU329670|CU329670.1
11388	0.0320795	ENA|CU329670|CU329670.1
12527	0.0302254	ENA|CU329670|CU329670.1
13780	0.0280274	ENA|CU329670|CU329670.1
15158	0.0258176	ENA|CU329670|CU329670.1
16674	0.0240394	ENA|CU329670|CU329670.1
18341	0.0222996	ENA|CU329670|CU329670.1
20176	0.0206448	ENA|CU329670|CU329670.1
22193	0.0194968	ENA|CU329670|CU329670.1
24413	0.0178877	ENA|CU329670|CU329670.1
26854	0.0163205	ENA|CU329670|CU329670.1
29539	0.0149813	ENA|CU329670|CU329670.1
32493	0.0140511	ENA|CU329670|CU329670.1
35743	0.0127955	ENA|CU329670|CU329670.1
39317	0.011929	ENA|CU329670|CU329670.1
43249	0.011073	ENA|CU329670|CU329670.1
47574	0.0102728	ENA|CU329670|CU329670.1
52331	0.00925807	ENA|CU329670|CU329670.1
57565	0.00868384	ENA|CU329670|CU329670.1
63321	0.00813937	ENA|CU329670|CU329670.1
69653	0.00769096	ENA|CU329670|CU329670.1
76619	0.00710827	ENA|CU329670|CU329670.1
84280	0.0068137	ENA|CU329670|CU329670.1
92709	0.00640054	ENA|CU329670|CU329670.1
101979	0.00606904	ENA|CU329670|CU329670.1
112177	0.00572748	ENA|CU329670|CU329670.1
123395	0.00550103	ENA|CU329670|CU329670.1
135735	0.00519847	ENA|CU329670|CU329670.1
149308	0.0049361	ENA|CU329670|CU329670.1
164239	0.00463931	ENA|CU329670|CU329670.1
180663	0.00442126	ENA|CU329670|CU329670.1
198730	0.00416042	ENA|CU329670|CU329670.1
218603	0.00394496	ENA|CU329670|CU329670.1
240463	0.00371001	ENA|CU329670|CU329670.1
264509	0.00342381	ENA|CU329670|CU329670.1
290960	0.00319395	ENA|CU329670|CU329670.1
320056	0.00291527	ENA|CU329670|CU329670.1
352062	0.00269482	ENA|CU329670|CU329670.1
387268	0.00240722	ENA|CU329670|CU329670.1
425995	0.00212509	ENA|CU329670|CU329670.1
468595	0.00183101	ENA|CU329670|CU329670.1
515454	0.00155859	ENA|CU329670|CU329670.1
567000	0.00125997	ENA|CU329670|CU329670.1
623700	0.00101426	ENA|CU329670|CU329670.1
686070	0.000795977	ENA|CU329670|CU329670.1
754677	0.000600337	ENA|CU329670|CU329670.1
830145	0.000449027	ENA|CU329670|CU329670.1
913159	0.000330691	ENA|CU329670|CU329670.1
1.00448e+06	0.000245034	ENA|CU329670|CU329670.1
1.10492e+06	0.000186042	ENA|CU329670|CU329670.1
1.21542e+06	0.00014598	ENA|CU329670|CU329670.1
1.33696e+06	0.000117588	ENA|CU329670|CU329670.1
1.47065e+06	9.98892e-05	ENA|CU329670|CU329670.1
1.61772e+06	8.95554e-05	ENA|CU329670|CU329670.1
1.77949e+06	8.87371e-05	ENA|CU329670|CU329670.1
1.95744e+06	8.38309e-05	ENA|CU329670|CU329670.1
2.15318e+06	8.11101e-05	ENA|CU329670|CU329670.1
2.3685e+06	8.16512e-05	ENA|CU329670|CU329670.1
2.60535e+06	8.19678e-05	ENA|CU329670|CU329670.1
2.86588e+06	8.19775e-05	ENA|CU329670|CU329670.1
3.15247e+06	8.07481e-05	ENA|CU329670|CU329670.1
3.46772e+06	8.12465e-05	ENA|CU329670|CU329670.1
3.81449e+06	7.80988e-05	ENA|CU329670|CU329670.1
4.19594e+06	7.57852e-05	ENA|CU329670|CU329670.1
4.61554e+06	8.50422e-05	ENA|CU329670|CU329670.1
5.07709e+06	8.50422e-05	ENA|CU329670|CU329670.1
1	1e-09	ENA|CU329671|CU329671.1
2	1e-09	ENA|CU329671|CU329671.1
3	1e-09	ENA|CU329671|CU329671.1
4	1e-09	ENA|CU329671|CU329671.1
5	1e-09	ENA|CU329671|CU329671.1
6	1e-09	ENA|CU329671|CU329671.1
7	1e-09	ENA|CU329671|CU329671.1
8	1e-09	ENA|CU329671|CU329671.1
9	1e-09	ENA|CU329671|CU329671.1
10	1e-09	ENA|CU329671|CU329671.1
11	1e-09	ENA|CU329671|CU329671.1
13	1e-09	ENA|CU329671|CU329671.1
14	1e-09	ENA|CU329671|CU329671.1
15	1e-09	ENA|CU329671|CU329671.1
17	1e-09	ENA|CU329671|CU329671.1
19	1e-09	ENA|CU329671|CU329671.1
21	0.00141328	ENA|CU329671|CU329671.1
23	1e-09	ENA|CU329671|CU329671.1
25	0.00282656	ENA|CU329671|CU329671.1
28	0.045225	ENA|CU329671|CU329671.1
30	0.10317	ENA|CU329671|CU329671.1
34	0.306211	ENA|CU329671|CU329671.1
37	0.325762	ENA|CU329671|CU329671.1
41	0.324349	ENA|CU329671|CU329671.1
45	0.342722	ENA|CU329671|CU329671.1
49	0.346538	ENA|CU329671|CU329671.1
54	0.383944	ENA|CU329671|CU329671.1
60	0.415979	ENA|CU329671|CU329671.1
66	0.453667	ENA|CU329671|CU329671.1
72	0.457908	ENA|CU329671|CU329671.1
80	0.484408	ENA|CU329671|CU329671.1
88	0.500622	ENA|CU329671|CU329671.1
97	0.538311	ENA|CU329671|CU329671.1
106	0.547335	ENA|CU329671|CU329671.1
117	0.588172	ENA|CU329671|CU329671.1
129	0.629251	ENA|CU329671|CU329671.1
142	0.627513	ENA|CU329671|CU329671.1
156	0.605467	ENA|CU329671|CU329671.1
171	0.64432	ENA|CU329671|CU329671.1
189	0.624536	ENA|CU329671|CU329671.1
207	0.626311	ENA|CU329671|CU329671.1
228	0.583405	ENA|CU329671|CU329671.1
251	0.571899	ENA|CU329671|CU329671.1
276	0.577762	ENA|CU329671|CU329671.1
304	0.560354	ENA|CU329671|CU329671.1
334	0.544235	ENA|CU329671|CU329671.1
368	0.534186	ENA|CU329671|CU329671.1
405	0.525927	ENA|CU329671|CU329671.1
445	0.527613	ENA|CU329671|CU329671.1
490	0.491701	ENA|CU329671|CU329671.1
539	0.489943	ENA|CU329671|CU329671.1
593	0.456525	ENA|CU329671|CU329671.1
652	0.433614	ENA|CU329671|CU329671.1
717	0.411919	ENA|CU329671|CU329671.1
789	0.383693	ENA|CU329671|CU329671.1
868	0.36044	ENA|CU329671|CU329671.1
955	0.32804	ENA|CU329671|CU329671.1
1051	0.307387	ENA|CU329671|CU329671.1
1156	0.287794	ENA|CU329671|CU329671.1
1271	0.262261	ENA|CU329671|CU329671.1
1399	0.2419	ENA|CU329671|CU329671.1
1538	0.225561	ENA|CU329671|CU329671.1
1692	0.201495	ENA|CU329671|CU329671.1
1862	0.187924	ENA|CU329671|CU329671.1
2048	0.170845	ENA|CU329671|CU329671.1
2253	0.159198	ENA|CU329671|CU329671.1
2478	0.145012	ENA|CU329671|CU329671.1
2726	0.12945	ENA|CU329671|CU329671.1
2999	0.119762	ENA|CU329671|CU329671.1
3298	0.108494	ENA|CU329671|CU329671.1
3628	0.0972119	ENA|CU329671|CU329671.1
3991	0.0897175	ENA|CU329671|CU329671.1
4390	0.0804904	ENA|CU329671|CU329671.1
4830	0.0730567	ENA|CU329671|CU329671.1
5313	0.0650585	ENA|CU329671|CU329671.1
5844	0.0598836	ENA|CU329671|CU329671.1
6428	0.0535333	ENA|CU329671|CU329671.1
7071	0.0493994	ENA|CU329671|CU329671.1
7778	0.045732	ENA|CU329671|CU329671.1
8556	0.0414764	ENA|CU329671|CU329671.1
9412	0.0380655	ENA|CU329671|CU329671.1
10353	0.0351278	ENA|CU329671|CU329671.1
11388	0.0322116	ENA|CU329671|CU329671.1
12527	0.0299855	ENA|CU329671|CU329671.1
13780	0.0280163	ENA|CU329671|CU329671.1
15158	0.0263236	ENA|CU329671|CU329671.1
16674	0.0236718	ENA|CU329671|CU329671.1
18341	0.0225447	ENA|CU329671|CU329671.1
20176	0.0209965	ENA|CU329671|CU329671.1
22193	0.0193273	ENA|CU329671|CU329671.1
24413	0.0178672	ENA|CU329671|CU329671.1
26854	0.0164328	ENA|CU329671|CU329671.1
29539	0.0153851	ENA|CU329671|CU329671.1
32493	0.0141723	ENA|CU329671|CU329671.1
35743	0.0128925	ENA|CU329671|CU329671.1
39317	0.011867	ENA|CU329671|CU329671.1
43249	0.0110738	ENA|CU329671|CU329671.1
47574	0.0102826	ENA|CU329671|CU329671.1
52331	0.00944941	ENA|CU329671|CU329671.1
57565	0.0089066	ENA|CU329671|CU329671.1
63321	0.00840724	ENA|CU329671|CU329671.1
69653	0.00773386	ENA|CU329671|CU329671.1
76619	0.00722858	ENA|CU329671|CU329671.1
84280	0.00673539	ENA|CU329671|CU329671.1
92709	0.00650172	ENA|CU329671|CU329671.1
101979	0.006172	ENA|CU329671|CU329671.1
112177	0.00588773	ENA|CU329671|CU329671.1
123395	0.00555886	ENA|CU329671|CU329671.1
135735	0.00516573	ENA|CU329671|CU329671.1
149308	0.00498097	ENA|CU329671|CU329671.1
164239	0.00469435	ENA|CU329671|CU329671.1
180663	0.00444095	ENA|CU329671|CU329671.1
198730	0.00426704	ENA|CU329671|CU329671.1
218603	0.00400378	ENA|CU329671|CU329671.1
240463	0.00379969	ENA|CU329671|CU329671.1
264509	0.00355071	ENA|CU329671|CU329671.1
290960	0.00327503	ENA|CU329671|CU329671.1
320056	0.00305432	ENA|CU329671|CU329671.1
352062	0.00275599	ENA|CU329671|CU329671.1
387268	0.0024956	ENA|CU329671|CU329671.1
425995	0.00221375	ENA|CU329671|CU329671.1
468595	0.00193235	ENA|CU329671|CU329671.1
515454	0.00160519	ENA|CU329671|CU329671.1
567000	0.00133506	ENA|CU329671|CU329671.1
623700	0.00107061	ENA|CU329671|CU329671.1
686070	0.000844381	ENA|CU329671|CU329671.1
754677	0.000655735	ENA|CU329671|CU329671.1
830145	0.000485284	ENA|CU329671|CU329671.1
913159	0.000357096	ENA|CU329671|CU329671.1
1.00448e+06	0.000287853	ENA|CU329671|CU329671.1
1.10492e+06	0.000212295	ENA|CU329671|CU329671.1
1.21542e+06	0.000165922	ENA|CU329671|CU329671.1
1.33696e+06	0.000137755	ENA|CU329671|CU329671.1
1.47065e+06	0.000118489	ENA|CU329671|CU329671.1
1.61772e+06	0.000111589	ENA|CU329671|CU329671.1
1.77949e+06	0.000105979	ENA|CU329671|CU329671.1
1.95744e+06	0.000100846	ENA|CU329671|CU329671.1
2.15318e+06	0.000101384	ENA|CU329671|CU329671.1
2.3685e+06	9.13393e-05	ENA|CU329671|CU329671.1
2.60535e+06	8.80662e-05	ENA|CU329671|CU329671.1
2.86588e+06	8.30774e-05	ENA|CU329671|CU329671.1
3.15247e+06	7.98063e-05	ENA|CU329671|CU329671.1
3.46772e+06	8.24325e-05	ENA|CU329671|CU329671.1
3.81449e+06	0.000117548	ENA|CU329671|CU329671.1
4.19594e+06	0.000117548	ENA|CU329671|CU329671.1
1	1e-09	ENA|CU329672|CU329672.1
2	1e-09	ENA|CU329672|CU329672.1
3	1e-09	ENA|CU329672|CU329672.1
4	1e-09	ENA|CU329672|CU329672.1
5	1e-09	ENA|CU329672|CU329672.1
6	1e-09	ENA|CU329672|CU329672.1
7	1e-09	ENA|CU329672|CU329672.1
8	1e-09	ENA|CU329672|CU329672.1
9	1e-09	ENA|CU329672|CU329672.1
10	1e-09	ENA|CU329672|CU329672.1
11	1e-09	ENA|CU329672|CU329672.1
13	1e-09	ENA|CU329672|CU329672.1
14	1e-09	ENA|CU329672|CU329672.1
15	0.00282795	ENA|CU329672|CU329672.1
17	1e-09	ENA|CU329672|CU329672.1
19	1e-09	ENA|CU329672|CU329672.1
