CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	733932	209280	77.81	943212
2	519370	143210	78.39	662580
3	576855	195001	74.74	771856
4	768100	215326	78.10	983426
5	707934	215998	76.62	923932
6	750539	259242	74.33	1009781
7	684286	218929	75.76	903215
8	781544	255569	75.36	1037113
9	805931	255345	75.94	1061276
10	763713	246176	75.62	1009889
11	753030	243847	75.54	996877
12	769366	246538	75.73	1015904
13	765558	246438	75.65	1011996
14	771513	248092	75.67	1019605
15	776314	249924	75.65	1026238
16	788442	252834	75.72	1041276
17	789847	253434	75.71	1043281
18	795338	255516	75.68	1050854
19	795558	254985	75.73	1050543
20	802136	256106	75.80	1058242
21	804218	256352	75.83	1060570
22	806801	255716	75.93	1062517
23	805710	254739	75.98	1060449
24	810621	255161	76.06	1065782
25	808811	255990	75.96	1064801
26	810530	255818	76.01	1066348
27	810215	256801	75.93	1067016
28	814386	255368	76.13	1069754
29	815302	256331	76.08	1071633
30	819455	257175	76.11	1076630
31	817810	257441	76.06	1075251
32	818779	256188	76.17	1074967
33	818851	256220	76.17	1075071
34	819913	256248	76.19	1076161
35	820979	257191	76.15	1078170
36	820356	256334	76.19	1076690
37	816156	255648	76.15	1071804
38	816282	255573	76.16	1071855
39	819695	255702	76.22	1075397
40	819883	255826	76.22	1075709
41	818271	254484	76.28	1072755
42	820893	255026	76.30	1075919
43	819005	254188	76.31	1073193
44	818046	254346	76.28	1072392
45	818677	254440	76.29	1073117
46	819434	253374	76.38	1072808
47	815684	253439	76.29	1069123
48	815974	253726	76.28	1069700
49	814563	252614	76.33	1067177
50	811828	252147	76.30	1063975
51	810373	251563	76.31	1061936
52	811705	252296	76.29	1064001
53	807705	250423	76.33	1058128
54	806742	251348	76.25	1058090
55	801936	249931	76.24	1051867
56	801437	249667	76.25	1051104
57	799926	249257	76.24	1049183
58	795216	247480	76.27	1042696
59	794021	249184	76.11	1043205
60	792861	247445	76.21	1040306
61	791362	245229	76.34	1036591
62	789122	245447	76.28	1034569
63	784548	245396	76.17	1029944
64	783232	243408	76.29	1026640
65	776984	243641	76.13	1020625
66	776042	243107	76.15	1019149
67	765495	242016	75.98	1007511
68	763003	241107	75.99	1004110
69	759281	240952	75.91	1000233
70	752605	237960	75.98	990565
71	748455	236476	75.99	984931
72	743292	236540	75.86	979832
73	738140	235146	75.84	973286
74	734860	234299	75.82	969159
75	724314	232064	75.74	956378
76	722318	230969	75.77	953287
77	715595	229825	75.69	945420
78	709969	229507	75.57	939476
79	702623	228902	75.43	931525
80	695779	227151	75.39	922930
81	688653	225830	75.31	914483
82	680818	224660	75.19	905478
83	673862	223443	75.10	897305
84	663524	223535	74.80	887059
85	653157	220082	74.80	873239
86	645823	217894	74.77	863717
87	639089	215652	74.77	854741
88	629287	213723	74.65	843010
89	619856	211220	74.58	831076
90	608880	208617	74.48	817497
91	592814	206727	74.14	799541
92	586973	202256	74.37	789229
93	568632	196632	74.31	765264
94	550289	197463	73.59	747752
95	535199	190872	73.71	726071
96	516346	187993	73.31	704339
97	496107	182560	73.10	678667
98	472345	176317	72.82	648662
99	453207	171943	72.50	625150
100	424857	165733	71.94	590590
101	391450	156517	71.44	547967

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	169944	4914730	3.34	5084674
2	76009	4264787	1.75	4340796
3	57562	4658008	1.22	4715570
4	55804	4793611	1.15	4849415
5	46890	4669107	0.99	4715997
6	46267	4890644	0.94	4936911
7	45583	4895008	0.92	4940591
8	48052	5234701	0.91	5282753
9	48630	5214468	0.92	5263098
10	47034	5114590	0.91	5161624
11	46259	5087967	0.90	5134226
12	46721	5121703	0.90	5168424
13	46501	5123715	0.90	5170216
14	46884	5173766	0.90	5220650
15	47018	5178775	0.90	5225793
16	47246	5219304	0.90	5266550
17	47215	5212750	0.90	5259965
18	47582	5232737	0.90	5280319
19	47707	5242782	0.90	5290489
20	47894	5271143	0.90	5319037
21	48038	5285898	0.90	5333936
22	48200	5277440	0.91	5325640
23	48207	5279382	0.90	5327589
24	48625	5309138	0.91	5357763
25	48411	5290201	0.91	5338612
26	48312	5284096	0.91	5332408
27	48464	5300810	0.91	5349274
28	49115	5314403	0.92	5363518
29	49116	5316612	0.92	5365728
30	49265	5327048	0.92	5376313
31	49112	5314401	0.92	5363513
32	49456	5320427	0.92	5369883
33	48988	5321479	0.91	5370467
34	48695	5323268	0.91	5371963
35	48827	5307615	0.91	5356442
36	48428	5324940	0.90	5373368
37	48709	5327132	0.91	5375841
38	48902	5327026	0.91	5375928
39	49073	5320492	0.91	5369565
40	48914	5312194	0.91	5361108
41	49242	5317174	0.92	5366416
42	49268	5320707	0.92	5369975
43	49171	5311510	0.92	5360681
44	48663	5305698	0.91	5354361
45	48671	5303651	0.91	5352322
46	48425	5296573	0.91	5344998
47	48351	5304110	0.90	5352461
48	49132	5307498	0.92	5356630
49	48473	5297521	0.91	5345994
50	48754	5288127	0.91	5336881
51	48708	5281877	0.91	5330585
52	48141	5259511	0.91	5307652
53	48083	5273063	0.90	5321146
54	47793	5270712	0.90	5318505
55	47678	5250405	0.90	5298083
56	47454	5252199	0.90	5299653
57	47644	5241434	0.90	5289078
58	47604	5229539	0.90	5277143
59	47607	5221755	0.90	5269362
60	47293	5219645	0.90	5266938
61	47374	5194985	0.90	5242359
62	47267	5190157	0.90	5237424
63	47157	5179085	0.90	5226242
64	47711	5150542	0.92	5198253
65	46655	5148058	0.90	5194713
66	46395	5128918	0.90	5175313
67	46048	5103880	0.89	5149928
68	46186	5094189	0.90	5140375
69	45839	5070195	0.90	5116034
70	45754	5050623	0.90	5096377
71	45430	5026917	0.90	5072347
72	45962	5007575	0.91	5053537
73	45446	4992741	0.90	5038187
74	44716	4944235	0.90	4988951
75	44439	4908499	0.90	4952938
76	44164	4851190	0.90	4895354
77	43668	4845917	0.89	4889585
78	43567	4828807	0.89	4872374
79	43465	4797414	0.90	4840879
80	42691	4771157	0.89	4813848
81	42682	4744407	0.89	4787089
82	41852	4704818	0.88	4746670
83	41827	4669452	0.89	4711279
84	41045	4626280	0.88	4667325
85	40622	4576977	0.88	4617599
86	39989	4532099	0.87	4572088
87	40093	4478437	0.89	4518530
88	39305	4425644	0.88	4464949
89	38695	4371848	0.88	4410543
90	37965	4311477	0.87	4349442
91	37706	4273174	0.87	4310880
92	37318	4155573	0.89	4192891
93	36865	4091983	0.89	4128848
94	35375	4039192	0.87	4074567
95	34282	3923853	0.87	3958135
96	33386	3847779	0.86	3881165
97	32383	3752159	0.86	3784542
98	31425	3677251	0.85	3708676
99	30054	3590616	0.83	3620670
100	29627	3500532	0.84	3530159
101	25392	3210661	0.78	3236053

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	458911	13423687	3.31	13882598
2	244150	12045193	1.99	12289343
3	181705	12671738	1.41	12853443
4	189900	13126796	1.43	13316696
5	164524	13520503	1.20	13685027
6	172506	14731701	1.16	14904207
7	160703	14074317	1.13	14235020
8	163327	14537429	1.11	14700756
9	163469	14338955	1.13	14502424
10	158239	14084758	1.11	14242997
11	155608	13908055	1.11	14063663
12	155015	13874434	1.10	14029449
13	154104	13763054	1.11	13917158
14	153873	13765441	1.11	13919314
15	154200	13777071	1.11	13931271
16	154137	13745929	1.11	13900066
17	153266	13727161	1.10	13880427
18	154070	13773565	1.11	13927635
19	153627	13740129	1.11	13893756
20	154022	13737090	1.11	13891112
21	154440	13688446	1.12	13842886
22	153659	13668889	1.11	13822548
23	153369	13656492	1.11	13809861
24	153866	13644976	1.12	13798842
25	153260	13614144	1.11	13767404
26	152187	13586119	1.11	13738306
27	153041	13616794	1.11	13769835
28	152821	13590515	1.11	13743336
29	151855	13562249	1.11	13714104
30	152766	13556755	1.11	13709521
31	152349	13525138	1.11	13677487
32	152668	13522177	1.12	13674845
33	151588	13524914	1.11	13676502
34	151414	13500246	1.11	13651660
35	150384	13501797	1.10	13652181
36	151167	13515329	1.11	13666496
37	150887	13481043	1.11	13631930
38	151480	13476802	1.11	13628282
39	151334	13476708	1.11	13628042
40	150726	13473880	1.11	13624606
41	151897	13467409	1.12	13619306
42	150621	13455967	1.11	13606588
43	150484	13442666	1.11	13593150
44	150402	13438671	1.11	13589073
45	149574	13442035	1.10	13591609
46	149925	13441812	1.10	13591737
47	149167	13430203	1.10	13579370
48	149133	13439198	1.10	13588331
49	149876	13422946	1.10	13572822
