CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	550084	160258	77.44	710342
2	390784	108522	78.27	499306
3	433574	147483	74.62	581057
4	578503	163692	77.94	742195
5	535080	163207	76.63	698287
6	566804	195970	74.31	762774
7	517053	164797	75.83	681850
8	589399	193339	75.30	782738
9	607744	193147	75.88	800891
10	576568	186080	75.60	762648
11	569081	184876	75.48	753957
12	579671	185523	75.75	765194
13	576762	185748	75.64	762510
14	582582	187742	75.63	770324
15	585097	188570	75.63	773667
16	594532	191184	75.67	785716
17	597166	192251	75.65	789417
18	600598	192588	75.72	793186
19	600992	192528	75.74	793520
20	604540	193929	75.71	798469
21	605727	193467	75.79	799194
22	608410	192424	75.97	800834
23	607739	193278	75.87	801017
24	609715	192798	75.98	802513
25	609608	192713	75.98	802321
26	609356	193475	75.90	802831
27	608987	193031	75.93	802018
28	610126	192472	76.02	802598
29	611190	192459	76.05	803649
30	614607	193297	76.07	807904
31	613902	191523	76.22	805425
32	609857	191623	76.09	801480
33	611911	191169	76.20	803080
34	611026	191389	76.15	802415
35	609645	191569	76.09	801214
36	611229	191152	76.18	802381
37	609154	190503	76.18	799657
38	608704	190445	76.17	799149
39	609730	190635	76.18	800365
40	610019	189808	76.27	799827
41	607555	189263	76.25	796818
42	608761	188793	76.33	797554
43	607423	188706	76.30	796129
44	604079	188623	76.21	792702
45	603058	187808	76.25	790866
46	600662	186722	76.29	787384
47	601189	187082	76.27	788271
48	599181	186077	76.30	785258
49	597584	185314	76.33	782898
50	593066	184257	76.30	777323
51	591037	183223	76.34	774260
52	588275	182731	76.30	771006
53	586550	181991	76.32	768541
54	583904	181477	76.29	765381
55	579021	180668	76.22	759689
56	574458	179387	76.20	753845
57	573917	178763	76.25	752680
58	567128	177065	76.21	744193
59	563131	176353	76.15	739484
60	559565	174162	76.26	733727
61	558109	173695	76.26	731804
62	551668	172226	76.21	723894
63	548721	171427	76.20	720148
64	540924	170505	76.03	711429
65	536689	168034	76.16	704723
66	530370	168012	75.94	698382
67	525709	165963	76.01	691672
68	517675	164251	75.91	681926
69	514977	162901	75.97	677878
70	505497	160142	75.94	665639
71	500553	158987	75.89	659540
72	490963	157192	75.75	648155
73	486467	153829	75.98	640296
74	481709	154792	75.68	636501
75	467467	149591	75.76	617058
76	469520	149586	75.84	619106
77	463331	147716	75.83	611047
78	451785	147792	75.35	599577
79	446087	145995	75.34	592082
80	437045	144997	75.09	582042
81	431474	143767	75.01	575241
82	417462	140263	74.85	557725
83	412620	138660	74.85	551280
84	399628	136157	74.59	535785
85	391575	134607	74.42	526182
86	380574	130834	74.42	511408
87	372966	128846	74.32	501812
88	357772	124926	74.12	482698
89	351697	122334	74.19	474031
90	336739	119003	73.89	455742
91	326741	116216	73.76	442957
92	311298	112025	73.54	423323
93	297838	108069	73.38	405907
94	280173	103889	72.95	384062
95	263142	98717	72.72	361859
96	243883	92532	72.49	336415
97	225661	86749	72.23	312410
98	200844	79056	71.76	279900
99	183513	75625	70.82	259138
100	164811	70654	69.99	235465
101	118850	63775	65.08	182625

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	129480	3703899	3.38	3833379
2	58109	3198763	1.78	3256872
3	44016	3524388	1.23	3568404
4	43044	3625170	1.17	3668214
5	36039	3516660	1.01	3552699
6	35218	3679244	0.95	3714462
7	34527	3686537	0.93	3721064
8	36496	3949991	0.92	3986487
9	37299	3931121	0.94	3968420
10	35517	3845754	0.92	3881271
11	35429	3832598	0.92	3868027
12	35233	3853629	0.91	3888862
13	35514	3862154	0.91	3897668
14	35821	3892059	0.91	3927880
15	36364	3903104	0.92	3939468
16	36383	3929714	0.92	3966097
17	35900	3926053	0.91	3961953
18	36263	3939858	0.91	3976121
19	36162	3949808	0.91	3985970
20	36664	3966903	0.92	4003567
21	36737	3976490	0.92	4013227
22	36901	3969588	0.92	4006489
23	36864	3981770	0.92	4018634
24	37093	3993837	0.92	4030930
25	36751	3979160	0.92	4015911
26	36483	3972758	0.91	4009241
27	36974	3981510	0.92	4018484
28	36929	3992328	0.92	4029257
29	37046	3993854	0.92	4030900
30	37047	3991289	0.92	4028336
31	37219	3983744	0.93	4020963
32	37010	3972936	0.92	4009946
33	37090	3968236	0.93	4005326
34	36910	3967012	0.92	4003922
35	36245	3961793	0.91	3998038
36	36928	3968686	0.92	4005614
37	36470	3975212	0.91	4011682
38	36533	3965662	0.91	4002195
39	37133	3965923	0.93	4003056
40	37316	3955882	0.93	3993198
41	36552	3957291	0.92	3993843
42	37277	3946350	0.94	3983627
43	36508	3947917	0.92	3984425
44	36428	3932668	0.92	3969096
45	36273	3926411	0.92	3962684
46	35989	3913764	0.91	3949753
47	36155	3912272	0.92	3948427
48	35972	3900919	0.91	3936891
49	35819	3892551	0.91	3928370
50	35956	3878024	0.92	3913980
51	36093	3865262	0.93	3901355
52	35591	3848134	0.92	3883725
53	35167	3847056	0.91	3882223
54	35214	3827213	0.91	3862427
55	35081	3808614	0.91	3843695
56	34622	3793652	0.90	3828274
57	34698	3779200	0.91	3813898
58	34357	3751605	0.91	3785962
59	34489	3735955	0.91	3770444
60	34014	3722380	0.91	3756394
61	33980	3699362	0.91	3733342
62	33587	3680358	0.90	3713945
63	33279	3656178	0.90	3689457
64	33243	3619360	0.91	3652603
65	33016	3599489	0.91	3632505
66	32317	3567709	0.90	3600026
67	31965	3546041	0.89	3578006
68	31764	3503551	0.90	3535315
69	31517	3482111	0.90	3513628
70	31362	3440121	0.90	3471483
71	31141	3414490	0.90	3445631
72	30635	3372295	0.90	3402930
73	30314	3371394	0.89	3401708
74	29702	3281000	0.90	3310702
75	29665	3236012	0.91	3265677
76	29367	3160683	0.92	3190050
77	29123	3161027	0.91	3190150
78	28215	3139488	0.89	3167703
79	28213	3118226	0.90	3146439
80	27480	3071464	0.89	3098944
81	27236	3042307	0.89	3069543
82	26128	2987290	0.87	3013418
83	25838	2952822	0.87	2978660
84	25268	2884551	0.87	2909819
85	24735	2843681	0.86	2868416
86	23972	2768711	0.86	2792683
87	23962	2718548	0.87	2742510
88	23215	2649471	0.87	2672686
89	22455	2594528	0.86	2616983
90	21802	2521697	0.86	2543499
91	21313	2457757	0.86	2479070
92	20609	2367682	0.86	2388291
93	19630	2298660	0.85	2318290
94	18453	2196580	0.83	2215033
95	17515	2114844	0.82	2132359
96	15910	1997548	0.79	2013458
97	14876	1905830	0.77	1920706
98	13984	1819453	0.76	1833437
99	12424	1757295	0.70	1769719
100	12264	1646062	0.74	1658326
101	9342	1421617	0.65	1430959

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	351599	10121805	3.36	10473404
2	187544	9070615	2.03	9258159
3	138432	9547009	1.43	9685441
4	144513	9875713	1.44	10020226
5	126565	10146811	1.23	10273376
6	131243	11064386	1.17	11195629
7	123144	10575306	1.15	10698450
8	124717	10923570	1.13	11048287
9	124644	10777005	1.14	10901649
10	121012	10596191	1.13	10717203
11	118682	10460168	1.12	10578850
12	117548	10439115	1.11	10556663
13	117291	10348725	1.12	10466016
14	117159	10354616	1.12	10471775
15	116763	10352062	1.12	10468825
16	117081	10337637	1.12	10454718
17	116912	10324600	1.12	10441512
18	117180	10350784	1.12	10467964
19	116290	10342725	1.11	10459015
20	116480	10342596	1.11	10459076
21	116688	10306636	1.12	10423324
22	116447	10291584	1.12	10408031
23	116913	10288873	1.12	10405786
24	116543	10270449	1.12	10386992
25	115250	10240008	1.11	10355258
26	115078	10224538	1.11	10339616
27	116164	10241827	1.12	10357991
28	115534	10228370	1.12	10343904
29	115110	10203784	1.12	10318894
30	115825	10191522	1.12	10307347
31	115192	10161156	1.12	10276348
32	114986	10126594	1.12	10241580
33	113952	10118828	1.11	10232780
34	113596	10095732	1.11	10209328
35	113041	10094795	1.11	10207836
36	114252	10092272	1.12	10206524
37	114241	10091010	1.12	10205251
38	113361	10076648	1.11	10190009
39	113339	10068596	1.11	10181935
40	113817	10059897	1.12	10173714
41	113878	10040062	1.12	10153940
42	113374	10021146	1.12	10134520
43	112307	10011146	1.11	10123453
44	111787	10004714	1.10	10116501
45	111842	10000924	1.11	10112766
46	111215	9977684	1.10	10088899
47	111657	9960729	1.11	10072386
48	110711	9943370	1.10	10054081
49	110773	9928924	1.10	10039697
50	111084	9899226	1.11	10010310
51	110101	9874409	1.10	9984510
52	110096	9852504	1.11	9962600
53	109525	9828180	1.10	9937705
54	108698	9816408	1.10	9925106
55	107395	9788517	1.09	9895912
56	107612	9765527	1.09	9873139
57	107175	9740951	1.09	9848126
58	106983	9694482	1.09	9801465
59	106700	9662483	1.09	9769183
60	106673	9643129	1.09	9749802
61	106249	9600267	1.09	9706516
62	104768	9570089	1.08	9674857
63	103601	9535062	1.07	9638663
64	102858	9481678	1.07	9584536
65	102635	9440479	1.08	9543114
66	101463	9391750	1.07	9493213
67	100982	9345125	1.07	9446107
68	100570	9282358	1.07	9382928
69	100221	9234439	1.07	9334660
70	99159	9166847	1.07	9266006
71	98881	9105613	1.07	9204494
72	97478	9031619	1.07	9129097
73	96094	8929935	1.06	9026029
74	94368	8821579	1.06	8915947
75	93890	8706156	1.07	8800046
76	93037	8664379	1.06	8757416
77	91829	8639476	1.05	8731305
78	90539	8610074	1.04	8700613
79	90040	8546224	1.04	8636264
80	88414	8455608	1.03	8544022
81	87630	8380781	1.03	8468411
82	86156	8283375	1.03	8369531
83	84324	8186351	1.02	8270675
84	82893	8072469	1.02	8155362
85	80577	7969822	1.00	8050399
86	79828	7837359	1.01	7917187
87	78398	7735887	1.00	7814285
88	76240	7591259	0.99	7667499
89	75089	7469418	1.00	7544507
90	72804	7314419	0.99	7387223
91	71455	7165633	0.99	7237088
92	69457	6988931	0.98	7058388
93	66647	6822955	0.97	6889602
94	64190	6627643	0.96	6691833
95	61308	6441546	0.94	6502854
96	58602	6228086	0.93	6286688
97	54986	6023658	0.90	6078644
98	48419	5738545	0.84	5786964
99	42552	5430370	0.78	5472922
100	34490	4756883	0.72	4791373
101	21319	4083139	0.52	4104458

