CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	513657	148560	77.57	662217
2	371140	75832	83.03	446972
3	434760	124671	77.71	559431
4	444223	124297	78.14	568520
5	435239	122040	78.10	557279
6	465954	136372	77.36	602326
7	420891	122465	77.46	543356
8	450161	133596	77.11	583757
9	463266	134596	77.49	597862
10	447896	132751	77.14	580647
11	444948	131948	77.13	576896
12	451424	132880	77.26	584304
13	448586	132235	77.23	580821
14	449693	132741	77.21	582434
15	448871	133654	77.06	582525
16	453281	134376	77.13	587657
17	452602	135677	76.94	588279
18	455907	136408	76.97	592315
19	452540	135531	76.95	588071
20	454432	136693	76.88	591125
21	456361	136483	76.98	592844
22	455144	135515	77.06	590659
23	456196	135842	77.06	592038
24	457382	136571	77.01	593953
25	456016	135654	77.07	591670
26	455853	137050	76.88	592903
27	455984	137001	76.90	592985
28	455604	137037	76.88	592641
29	455689	136414	76.96	592103
30	456549	137412	76.87	593961
31	457176	137998	76.81	595174
32	456824	137572	76.86	594396
33	457321	137381	76.90	594702
34	458156	137907	76.86	596063
35	457277	137738	76.85	595015
36	457651	137208	76.93	594859
37	457032	136745	76.97	593777
38	456303	137202	76.88	593505
39	458180	137090	76.97	595270
40	458132	137397	76.93	595529
41	458049	138057	76.84	596106
42	458024	137653	76.89	595677
43	457451	138106	76.81	595557
44	456386	136708	76.95	593094
45	458851	136861	77.03	595712
46	458546	137477	76.93	596023
47	458283	137231	76.96	595514
48	459066	137411	76.96	596477
49	458388	137267	76.96	595655
50	458278	137609	76.91	595887
51	458287	136765	77.02	595052
52	459225	136762	77.05	595987
53	458461	137599	76.92	596060
54	459107	137354	76.97	596461
55	457336	137507	76.88	594843
56	457966	137113	76.96	595079
57	455883	137197	76.87	593080
58	457275	137696	76.86	594971
59	455513	136732	76.91	592245
60	457231	137588	76.87	594819
61	457000	136881	76.95	593881
62	457666	136429	77.04	594095
63	457472	136554	77.01	594026
64	456548	136597	76.97	593145
65	456251	136022	77.03	592273
66	455087	136072	76.98	591159
67	455372	136470	76.94	591842
68	454288	135746	76.99	590034
69	454957	135840	77.01	590797
70	452191	136048	76.87	588239
71	451049	135783	76.86	586832
72	453185	135824	76.94	589009
73	452450	134730	77.05	587180
74	450965	135278	76.92	586243
75	450929	134509	77.02	585438
76	448828	134372	76.96	583200
77	446877	135087	76.79	581964
78	447707	135058	76.82	582765
79	446872	134609	76.85	581481
80	445540	134108	76.86	579648
81	445572	133973	76.88	579545
82	443278	134629	76.70	577907
83	441669	134428	76.67	576097
84	441130	133729	76.74	574859
85	438871	133720	76.65	572591
86	437724	132861	76.71	570585
87	437185	132823	76.70	570008
88	434476	132807	76.59	567283
89	433361	132149	76.63	565510
90	430686	131908	76.55	562594
91	428486	131634	76.50	560120
92	426362	130767	76.53	557129
93	421473	130385	76.37	551858
94	418673	129403	76.39	548076
95	415128	128804	76.32	543932
96	413231	127948	76.36	541179
97	408623	127178	76.26	535801
98	404366	126008	76.24	530374
99	396330	124919	76.03	521249
100	388479	118025	76.70	506504

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	87407	3677378	2.32	3764785
2	31854	2785531	1.13	2817385
3	28335	3021770	0.93	3050105
4	23664	3045291	0.77	3068955
5	20170	3110763	0.64	3130933
6	19431	3155819	0.61	3175250
7	18765	3154083	0.59	3172848
8	19494	3316878	0.58	3336372
9	19663	3308804	0.59	3328467
10	18794	3273105	0.57	3291899
11	18161	3267550	0.55	3285711
12	18083	3276067	0.55	3294150
13	17606	3264299	0.54	3281905
14	17589	3288607	0.53	3306196
15	17375	3297436	0.52	3314811
16	17436	3306888	0.52	3324324
17	17595	3315824	0.53	3333419
18	17555	3312315	0.53	3329870
19	17238	3329332	0.52	3346570
20	17463	3348819	0.52	3366282
21	17330	3352135	0.51	3369465
22	17426	3350927	0.52	3368353
23	17381	3350976	0.52	3368357
24	17308	3377148	0.51	3394456
25	17332	3361914	0.51	3379246
26	17057	3358829	0.51	3375886
27	17027	3363945	0.50	3380972
28	17231	3381071	0.51	3398302
29	17352	3381380	0.51	3398732
30	17359	3392280	0.51	3409639
31	16995	3380466	0.50	3397461
32	16906	3376621	0.50	3393527
33	17197	3381487	0.51	3398684
34	16690	3386604	0.49	3403294
35	16719	3377821	0.49	3394540
36	17131	3379950	0.50	3397081
37	17261	3385435	0.51	3402696
38	16942	3382169	0.50	3399111
39	17012	3382184	0.50	3399196
40	17141	3384633	0.50	3401774
41	16837	3384723	0.49	3401560
42	17017	3391513	0.50	3408530
43	17334	3386999	0.51	3404333
44	17086	3381816	0.50	3398902
45	17285	3383702	0.51	3400987
46	17111	3382125	0.50	3399236
47	16996	3385101	0.50	3402097
48	16964	3386622	0.50	3403586
49	16929	3385288	0.50	3402217
50	17032	3385837	0.50	3402869
51	16986	3380779	0.50	3397765
52	17109	3376175	0.50	3393284
53	17159	3386904	0.50	3404063
54	17180	3385566	0.50	3402746
55	17119	3375052	0.50	3392171
56	16910	3375089	0.50	3391999
57	16753	3376987	0.49	3393740
58	16753	3375241	0.49	3391994
59	16916	3376414	0.50	3393330
60	16694	3373882	0.49	3390576
61	17099	3368797	0.51	3385896
62	16888	3366407	0.50	3383295
63	16830	3368145	0.50	3384975
64	16727	3362968	0.49	3379695
65	16786	3359078	0.50	3375864
66	16957	3357776	0.50	3374733
67	16851	3348608	0.50	3365459
68	16726	3350248	0.50	3366974
69	16913	3347278	0.50	3364191
70	16721	3347224	0.50	3363945
71	16677	3343718	0.50	3360395
72	16634	3339178	0.50	3355812
73	16846	3339900	0.50	3356746
74	16727	3330103	0.50	3346830
75	16833	3324515	0.50	3341348
76	16680	3317155	0.50	3333835
77	16647	3323636	0.50	3340283
78	16606	3318554	0.50	3335160
79	16512	3306580	0.50	3323092
80	16509	3304707	0.50	3321216
81	16407	3296741	0.50	3313148
82	16531	3296582	0.50	3313113
83	16526	3293880	0.50	3310406
84	16622	3282306	0.50	3298928
85	16213	3273096	0.49	3289309
86	16515	3267594	0.50	3284109
87	16204	3256064	0.50	3272268
88	16458	3249932	0.50	3266390
89	16204	3237118	0.50	3253322
90	16029	3226404	0.49	3242433
91	15967	3217236	0.49	3233203
92	16105	3203073	0.50	3219178
93	15947	3185704	0.50	3201651
94	15840	3165473	0.50	3181313
95	15847	3152631	0.50	3168478
96	15668	3132863	0.50	3148531
97	15464	3118380	0.49	3133844
98	15449	3091274	0.50	3106723
