CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	517801	148134	77.76	665935
2	373698	76405	83.02	450103
3	439327	126104	77.70	565431
4	448170	123860	78.35	572030
5	433787	122209	78.02	555996
6	467471	136186	77.44	603657
7	420830	121814	77.55	542644
8	451624	132973	77.25	584597
9	464379	134419	77.55	598798
10	450459	132957	77.21	583416
11	446279	132663	77.09	578942
12	453716	132727	77.37	586443
13	449268	132735	77.19	582003
14	451709	132899	77.27	584608
15	451283	133834	77.13	585117
16	454902	135289	77.08	590191
17	454556	134962	77.11	589518
18	454799	136303	76.94	591102
19	453523	135626	76.98	589149
20	456556	136461	76.99	593017
21	457348	136330	77.04	593678
22	456692	137015	76.92	593707
23	456276	136183	77.01	592459
24	459456	137421	76.98	596877
25	457461	136548	77.01	594009
26	455930	136545	76.95	592475
27	456904	137277	76.90	594181
28	456747	138009	76.80	594756
29	457545	137529	76.89	595074
30	459027	137517	76.95	596544
31	459590	137968	76.91	597558
32	458275	137583	76.91	595858
33	458763	138094	76.86	596857
34	459000	137843	76.90	596843
35	458899	137747	76.91	596646
36	458854	137817	76.90	596671
37	458145	137295	76.94	595440
38	458067	137613	76.90	595680
39	458441	137742	76.90	596183
40	458336	137603	76.91	595939
41	459344	138116	76.88	597460
42	460632	137268	77.04	597900
43	458751	137546	76.93	596297
44	459593	137894	76.92	597487
45	460095	138460	76.87	598555
46	459619	137239	77.01	596858
47	460554	137364	77.03	597918
48	460573	137975	76.95	598548
49	459859	137927	76.93	597786
50	460256	137405	77.01	597661
51	461070	137949	76.97	599019
52	459087	138249	76.86	597336
53	458113	137906	76.86	596019
54	460407	137171	77.05	597578
55	459351	137653	76.94	597004
56	459581	137509	76.97	597090
57	459576	137831	76.93	597407
58	458458	137356	76.95	595814
59	457531	137293	76.92	594824
60	459505	137113	77.02	596618
61	459856	137097	77.03	596953
62	459454	137087	77.02	596541
63	460631	136770	77.11	597401
64	459066	137685	76.93	596751
65	459066	136741	77.05	595807
66	457920	136525	77.03	594445
67	455864	136881	76.91	592745
68	455539	136675	76.92	592214
69	455368	136467	76.94	591835
70	455014	136378	76.94	591392
71	453275	135837	76.94	589112
72	454292	135304	77.05	589596
73	455054	135628	77.04	590682
74	453241	136134	76.90	589375
75	451159	135533	76.90	586692
76	451021	135612	76.88	586633
77	450596	135605	76.87	586201
78	449617	135801	76.80	585418
79	449873	134933	76.93	584806
80	448124	134923	76.86	583047
81	447259	134917	76.83	582176
82	446427	134156	76.89	580583
83	445264	135072	76.73	580336
84	444049	134601	76.74	578650
85	442828	134680	76.68	577508
86	441932	133690	76.77	575622
87	438985	133125	76.73	572110
88	436923	133128	76.65	570051
89	437427	133023	76.68	570450
90	434661	132306	76.66	566967
91	432741	132719	76.53	565460
92	430104	131644	76.57	561748
93	427650	130315	76.64	557965
94	423646	130843	76.40	554489
95	419859	129792	76.39	549651
96	416942	128661	76.42	545603
97	414646	127608	76.47	542254
98	409478	126287	76.43	535765
99	402866	125199	76.29	528065
100	394216	118318	76.92	512534

CHG context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	87942	3678010	2.34	3765952
2	31899	2801123	1.13	2833022
3	27827	3025839	0.91	3053666
4	23654	3040770	0.77	3064424
5	19460	3118569	0.62	3138029
6	19404	3160222	0.61	3179626
7	18817	3161103	0.59	3179920
8	19660	3321525	0.59	3341185
9	19626	3318919	0.59	3338545
10	18955	3277826	0.57	3296781
11	18431	3272047	0.56	3290478
12	18434	3286349	0.56	3304783
13	17775	3275537	0.54	3293312
14	17767	3298834	0.54	3316601
15	17659	3304245	0.53	3321904
16	17389	3318511	0.52	3335900
17	17447	3319317	0.52	3336764
18	17325	3324427	0.52	3341752
19	17421	3336388	0.52	3353809
20	17324	3354510	0.51	3371834
21	17431	3361444	0.52	3378875
22	17261	3357364	0.51	3374625
23	17309	3364102	0.51	3381411
24	17428	3386282	0.51	3403710
25	17168	3370129	0.51	3387297
26	17367	3364954	0.51	3382321
27	17323	3370553	0.51	3387876
28	16883	3387778	0.50	3404661
29	17064	3395904	0.50	3412968
30	17316	3397636	0.51	3414952
31	17064	3388367	0.50	3405431
32	17228	3385323	0.51	3402551
33	17222	3393020	0.51	3410242
34	17142	3396455	0.50	3413597
35	16973	3387523	0.50	3404496
36	17138	3390284	0.50	3407422
37	17143	3397588	0.50	3414731
38	17014	3394411	0.50	3411425
39	17221	3392273	0.51	3409494
40	17052	3393871	0.50	3410923
41	17052	3397053	0.50	3414105
42	16972	3401995	0.50	3418967
43	17202	3399882	0.50	3417084
44	17077	3394131	0.50	3411208
45	17107	3394406	0.50	3411513
46	16953	3391810	0.50	3408763
47	17249	3399295	0.50	3416544
48	17301	3399465	0.51	3416766
49	17447	3393475	0.51	3410922
50	17085	3400632	0.50	3417717
51	17205	3389694	0.51	3406899
52	17163	3389085	0.50	3406248
53	17150	3396172	0.50	3413322
54	16848	3397671	0.49	3414519
55	16975	3387555	0.50	3404530
56	16779	3389899	0.49	3406678
57	17147	3391458	0.50	3408605
58	16921	3388024	0.50	3404945
59	17057	3386043	0.50	3403100
60	17111	3389565	0.50	3406676
61	17158	3381499	0.50	3398657
62	17117	3384017	0.50	3401134
63	17161	3380526	0.51	3397687
64	16997	3377098	0.50	3394095
65	16973	3372265	0.50	3389238
66	16982	3369612	0.50	3386594
67	17104	3364371	0.51	3381475
68	16790	3365015	0.50	3381805
69	16986	3362526	0.50	3379512
70	16966	3361133	0.50	3378099
71	16756	3356192	0.50	3372948
72	17057	3358817	0.51	3375874
73	16890	3356466	0.50	3373356
74	16779	3349194	0.50	3365973
75	16700	3341346	0.50	3358046
76	16707	3338347	0.50	3355054
77	16531	3339677	0.49	3356208
78	16602	3335324	0.50	3351926
79	16497	3326090	0.49	3342587
80	16558	3320996	0.50	3337554
81	16509	3314590	0.50	3331099
82	16655	3316557	0.50	3333212
83	16659	3313020	0.50	3329679
84	16681	3307034	0.50	3323715
85	16613	3292087	0.50	3308700
86	16511	3287955	0.50	3304466
87	16404	3277755	0.50	3294159
88	16490	3274725	0.50	3291215
89	16420	3260073	0.50	3276493
90	16249	3247293	0.50	3263542
91	16318	3240302	0.50	3256620
92	16172	3223165	0.50	3239337
93	16326	3211504	0.51	3227830
94	16138	3189204	0.50	3205342
95	15862	3175268	0.50	3191130
96	16142	3158070	0.51	3174212
97	15893	3144168	0.50	3160061
98	15702	3114620	0.50	3130322
99	15721	3082139	0.51	3097860
100	15222	2957464	0.51	2972686

CHH context
===========
position	count methylated	count unmethylated	% methylation	coverage
1	296701	12237266	2.37	12533967
2	119991	9623871	1.23	9743862
3	105149	10680558	0.97	10785707
4	93834	11137640	0.84	11231474
5	77963	11330424	0.68	11408387
6	77507	11824651	0.65	11902158
7	72813	11629132	0.62	11701945
8	72488	11927200	0.60	11999688
9	70679	11834594	0.59	11905273
10	68880	11775860	0.58	11844740
11	67112	11774467	0.57	11841579
12	66026	11812503	0.56	11878529
13	65056	11761942	0.55	11826998
14	64174	11792034	0.54	11856208
15	63453	11805608	0.53	11869061
16	63652	11826992	0.54	11890644
17	62567	11830550	0.53	11893117
18	62506	11879671	0.52	11942177
19	62392	11883821	0.52	11946213
20	62428	11910256	0.52	11972684
21	61483	11894282	0.51	11955765
22	62258	11880548	0.52	11942806
23	60790	11886636	0.51	11947426
24	61359	11888348	0.51	11949707
25	60904	11851178	0.51	11912082
26	60599	11858916	0.51	11919515
27	60508	11889630	0.51	11950138
28	60194	11902887	0.50	11963081
29	59927	11882789	0.50	11942716
30	60203	11877752	0.50	11937955
31	59736	11850962	0.50	11910698
32	59720	11855792	0.50	11915512
33	59487	11875912	0.50	11935399
34	59284	11868620	0.50	11927904
35	59376	11866869	0.50	11926245
36	59465	11875637	0.50	11935102
37	59349	11865055	0.50	11924404
38	58834	11867129	0.49	11925963
39	58962	11868462	0.49	11927424
40	59080	11880761	0.49	11939841
41	58915	11864897	0.49	11923812
42	59074	11877730	0.49	11936804
43	59266	11864012	0.50	11923278
44	58831	11857000	0.49	11915831
45	59062	11862273	0.50	11921335
46	58754	11873360	0.49	11932114
47	59014	11861498	0.50	11920512
48	58897	11869243	0.49	11928140
49	58996	11853332	0.50	11912328
50	58795	11848771	0.49	11907566
51	58387	11851672	0.49	11910059
