read_number	position	bases_total	errors	error_rate	a_to_c_error_rate	a_to_g_error_rate	a_to_t_error_rate	c_to_a_error_rate	c_to_g_error_rate	c_to_t_error_rate
1	1	1000	0	0.0	0.001	0.002	0.003	0.004	0.005	0.006
1	2	1000	1	0.001	0.002	0.003	0.004	0.005	0.006	0.007
1	3	1000	2	0.002	0.003	0.004	0.005	0.006	0.007	0.008
1	4	1000	3	0.003	0.004	0.005	0.006	0.007	0.008	0.009
1	5	1000	4	0.004	0.005	0.006	0.007	0.008	0.009	0.01
1	6	1000	5	0.005	0.006	0.007	0.008	0.009	0.01	0.011
1	7	1000	6	0.006	0.007	0.008	0.009	0.01	0.011	0.012
1	8	1000	7	0.007	0.008	0.009	0.01	0.011	0.012	0.013
1	9	1000	8	0.008	0.009	0.01	0.011	0.012	0.013	0.014
1	10	1000	9	0.009	0.01	0.011	0.012	0.013	0.014	0.015
1	11	1000	10	0.01	0.011	0.012	0.013	0.014	0.015	0.016
1	12	1000	11	0.011	0.012	0.013	0.014	0.015	0.016	0.017
1	13	1000	12	0.012	0.013	0.014	0.015	0.016	0.017	0.018
1	14	1000	13	0.013	0.014	0.015	0.016	0.017	0.018	0.019
1	15	1000	14	0.014	0.015	0.016	0.017	0.018	0.019	0.02
1	16	1000	15	0.015	0.016	0.017	0.018	0.019	0.02	0.021
1	17	1000	16	0.016	0.017	0.018	0.019	0.02	0.021	0.022
1	18	1000	17	0.017	0.018	0.019	0.02	0.021	0.022	0.023
1	19	1000	18	0.018	0.019	0.02	0.021	0.022	0.023	0.024
1	20	1000	19	0.019	0.02	0.021	0.022	0.023	0.024	0.025
1	21	1000	20	0.02	0.021	0.022	0.023	0.024	0.025	0.026
1	22	1000	21	0.021	0.022	0.023	0.024	0.025	0.026	0.027
1	23	1000	22	0.022	0.023	0.024	0.025	0.026	0.027	0.028
1	24	1000	23	0.023	0.024	0.025	0.026	0.027	0.028	0.029
1	25	1000	24	0.024	0.025	0.026	0.027	0.028	0.029	0.03
1	26	1000	25	0.025	0.026	0.027	0.028	0.029	0.03	0.031
1	27	1000	26	0.026	0.027	0.028	0.029	0.03	0.031	0.032
1	28	1000	27	0.027	0.028	0.029	0.03	0.031	0.032	0.033
1	29	1000	28	0.028	0.029	0.03	0.031	0.032	0.033	0.034
1	30	1000	29	0.029	0.03	0.031	0.032	0.033	0.034	0.035
1	31	1000	30	0.03	0.031	0.032	0.033	0.034	0.035	0.036
