/usr/bin/python /home/nservant/Apps/HiC-Pro_2.11.0-beta/scripts/markAllelicStatus.py -s /home/nservant/Desktop/hicpro_dev/test-op/bowtie2_indexes_as_test/snps_CAST_129S1.vcf -v -r -i bowtie_results/bwt2/mF1216/SRR2240731_subset_mm10_CAST_129S1_Nmask.bwt2pairs.bam -o bowtie_results/bwt2/mF1216/SRR2240731_subset_mm10_CAST_129S1_Nmask.bwt2pairs_allspe.bam
Warning : no SNPs found at position chr1:189580339. N ignored
Warning : no SNPs found at position chr16:81423484. N ignored
Warning : no SNPs found at position chr10:126520469. N ignored
Warning : no SNPs found at position chrX:19895156. N ignored
Warning : no SNPs found at position chrX:100635898. N ignored
Warning : no SNPs found at position chr16:32410989. N ignored
Warning : no SNPs found at position chr14:46625340. N ignored
Warning : no SNPs found at position chr9:111913962. N ignored
Warning : no SNPs found at position chr5:57675203. N ignored
Warning : no SNPs found at position chr5:57675204. N ignored
Warning : no SNPs found at position chr9:83034907. N ignored
Warning : no SNPs found at position chrX:151027607. N ignored
Warning : no SNPs found at position chrX:151027613. N ignored
Warning : no SNPs found at position chr7:117199652. N ignored
Warning : no SNPs found at position chr14:67237281. N ignored
Warning : no SNPs found at position chr13:19483688. N ignored
Warning : no SNPs found at position chr4:135646297. N ignored
Warning : no SNPs found at position chr19:53951708. N ignored
Warning : no SNPs found at position chr12:104239258. N ignored
Warning : no SNPs found at position chr13:82048417. N ignored
Warning : no SNPs found at position chr1:168216520. N ignored
Warning : no SNPs found at position chr16:47689526. N ignored
Warning : no SNPs found at position chr12:110567089. N ignored
Warning : no SNPs found at position chr15:38731806. N ignored
Warning : no SNPs found at position chr2:143916871. N ignored
Warning : no SNPs found at position chr1:166172055. N ignored
Warning : no SNPs found at position chr19:39482108. N ignored
Warning : no SNPs found at position chr8:115961485. N ignored
Warning : no SNPs found at position chr9:86315178. N ignored
Warning : no SNPs found at position chr3:69817184. N ignored
Warning : no SNPs found at position chr10:17847134. N ignored
Warning : no SNPs found at position chr10:120600451. N ignored
Warning : no SNPs found at position chr4:49479065. N ignored
Warning : no SNPs found at position chr15:74109986. N ignored
Warning : no SNPs found at position chr1:121100062. N ignored
Warning : no SNPs found at position chr5:38171396. N ignored
Warning : no SNPs found at position chr16:94180892. N ignored
Warning : no SNPs found at position chr11:101825966. N ignored
Warning : no SNPs found at position chr12:43070432. N ignored
Warning : no SNPs found at position chr3:41452078. N ignored
Warning : no SNPs found at position chr15:61284642. N ignored
Warning : no SNPs found at position chr11:46195255. N ignored
Warning : no SNPs found at position chr8:82185538. N ignored
Warning : no SNPs found at position chr7:50384467. N ignored
Warning : no SNPs found at position chr19:6510667. N ignored
Warning : no SNPs found at position chr6:16894580. N ignored
Warning : no SNPs found at position chr17:65720494. N ignored
Warning : no SNPs found at position chr11:77739033. N ignored
Warning : no SNPs found at position chr8:23909079. N ignored
Warning : no SNPs found at position chr14:100233067. N ignored
Warning : no SNPs found at position chr14:100233068. N ignored
Warning : no SNPs found at position chr5:3413829. N ignored
Warning : no SNPs found at position chr15:73195554. N ignored
Warning : no SNPs found at position chr14:92437814. N ignored
Warning : no SNPs found at position chr16:88154074. N ignored
Warning : no SNPs found at position chr7:111868979. N ignored
Warning : no SNPs found at position chr5:32160281. N ignored
Warning : no SNPs found at position chr9:41777535. N ignored
Warning : no SNPs found at position chr11:112753184. N ignored
Warning : no SNPs found at position chr6:89779917. N ignored
Warning : no SNPs found at position chr10:109293807. N ignored
Warning : no SNPs found at position chr16:56159183. N ignored
Warning : no SNPs found at position chr15:62040931. N ignored
Warning : no SNPs found at position chr8:88832215. N ignored
Warning : no SNPs found at position chr12:110612795. N ignored
Warning : no SNPs found at position chr3:121688699. N ignored
Warning : no SNPs found at position chr6:86276440. N ignored
Warning : no SNPs found at position chr12:96219720. N ignored
Warning : no SNPs found at position chr13:24017399. N ignored
Warning : no SNPs found at position chr6:134450184. N ignored
Warning : no SNPs found at position chr8:23641008. N ignored
Warning : no SNPs found at position chr6:83299098. N ignored
Warning : no SNPs found at position chr5:44886445. N ignored
Warning : no SNPs found at position chr3:55209990. N ignored
Warning : no SNPs found at position chr1:25958783. N ignored
Warning : no SNPs found at position chr12:51463241. N ignored
Warning : no SNPs found at position chr17:47047322. N ignored
Warning : no SNPs found at position chr1:148877258. N ignored
Warning : no SNPs found at position chr15:94529602. N ignored
Warning : no SNPs found at position chr7:119087082. N ignored
Warning : no SNPs found at position chr7:48158200. N ignored
Warning : no SNPs found at position chr5:25450069. N ignored
Warning : no SNPs found at position chr13:14953414. N ignored
Warning : no SNPs found at position chr13:14953420. N ignored
Warning : no SNPs found at position chrX:81638756. N ignored
Warning : no SNPs found at position chr12:77048677. N ignored
Warning : no SNPs found at position chr5:64949307. N ignored
Warning : no SNPs found at position chr5:114372521. N ignored
Warning : no SNPs found at position chr8:49383299. N ignored
Warning : no SNPs found at position chr15:50585615. N ignored
Warning : no SNPs found at position chr2:42857473. N ignored
Warning : no SNPs found at position chr3:50039404. N ignored
Warning : no SNPs found at position chr18:77859141. N ignored
Warning : no SNPs found at position chr9:105283192. N ignored
Warning : no SNPs found at position chr5:29420989. N ignored
Warning : no SNPs found at position chr12:107228224. N ignored
Warning : no SNPs found at position chr7:97236601. N ignored
Warning : no SNPs found at position chr14:66129957. N ignored
Warning : no SNPs found at position chr12:119877083. N ignored
Warning : no SNPs found at position chr18:41448187. N ignored
Warning : no SNPs found at position chr16:57721590. N ignored
Warning : no SNPs found at position chr6:122566772. N ignored
Warning : no SNPs found at position chr4:21573594. N ignored
Warning : no SNPs found at position chr2:59507652. N ignored
Warning : no SNPs found at position chr9:58307434. N ignored
Warning : no SNPs found at position chr17:47336287. N ignored
Warning : no SNPs found at position chr14:56471908. N ignored
Warning : no SNPs found at position chr6:94428118. N ignored
Warning : no SNPs found at position chr5:6676359. N ignored
Warning : no SNPs found at position chr18:43741973. N ignored
Warning : no SNPs found at position chr6:90647351. N ignored
Warning : no SNPs found at position chr3:122192264. N ignored
Warning : no SNPs found at position chr10:46416103. N ignored
Warning : no SNPs found at position chr7:129532228. N ignored
Warning : no SNPs found at position chr4:97327983. N ignored
Warning : no SNPs found at position chr13:22402779. N ignored
Warning : no SNPs found at position chr4:30862800. N ignored
Warning : no SNPs found at position chr17:75165505. N ignored
Warning : no SNPs found at position chr10:127563387. N ignored
Warning : no SNPs found at position chr1:175016004. N ignored
Warning : no SNPs found at position chr17:55646110. N ignored
Warning : no SNPs found at position chr10:120897021. N ignored
Warning : no SNPs found at position chr9:43921018. N ignored
Warning : no SNPs found at position chr14:99415591. N ignored
Warning : no SNPs found at position chr2:152593556. N ignored
Warning : no SNPs found at position chr2:152593557. N ignored
Warning : no SNPs found at position chr7:33429838. N ignored
Warning : no SNPs found at position chr2:128229203. N ignored
Warning : no SNPs found at position chr10:102693028. N ignored
Warning : no SNPs found at position chr4:135996821. N ignored
Warning : no SNPs found at position chr1:191486872. N ignored
Warning : no SNPs found at position chr8:108747374. N ignored
Warning : no SNPs found at position chr5:30491687. N ignored
Warning : no SNPs found at position chr9:90820627. N ignored
Warning : no SNPs found at position chr8:73261056. N ignored
Warning : no SNPs found at position chr1:146406442. N ignored
Warning : no SNPs found at position chr8:36339589. N ignored
Warning : no SNPs found at position chr12:14195987. N ignored
Warning : no SNPs found at position chr7:107884908. N ignored
Warning : no SNPs found at position chr7:15289372. N ignored
Warning : no SNPs found at position chr10:14063225. N ignored
Warning : no SNPs found at position chr2:81388374. N ignored
Warning : no SNPs found at position chr14:45647246. N ignored
Warning : no SNPs found at position chr13:58768617. N ignored
Warning : no SNPs found at position chr11:103957889. N ignored
Warning : no SNPs found at position chrX:12079135. N ignored
Warning : no SNPs found at position chr4:3385126. N ignored
Warning : no SNPs found at position chr1:158541866. N ignored
Warning : no SNPs found at position chr8:63141032. N ignored
Warning : no SNPs found at position chr4:63261087. N ignored
Warning : no SNPs found at position chr6:8753726. N ignored
Warning : no SNPs found at position chr18:56108719. N ignored
Warning : no SNPs found at position chr3:133196285. N ignored
Warning : no SNPs found at position chr16:42381718. N ignored
Warning : no SNPs found at position chr9:96077949. N ignored
Warning : no SNPs found at position chr1:182930092. N ignored
Warning : no SNPs found at position chr5:17380456. N ignored
Warning : no SNPs found at position chr6:148719744. N ignored
Warning : no SNPs found at position chr17:5401206. N ignored
Warning : no SNPs found at position chr6:31937050. N ignored
Warning : no SNPs found at position chr11:110067743. N ignored
Warning : no SNPs found at position chr13:39789495. N ignored
Warning : no SNPs found at position chr13:108138517. N ignored
Warning : no SNPs found at position chr3:153768254. N ignored
Warning : no SNPs found at position chr5:136898312. N ignored
Warning : no SNPs found at position chr18:37425613. N ignored
Warning : no SNPs found at position chr3:115551352. N ignored
Warning : no SNPs found at position chr9:94845636. N ignored
Warning : no SNPs found at position chr17:33997318. N ignored
Warning : no SNPs found at position chr4:28593538. N ignored
Warning : no SNPs found at position chr4:144635498. N ignored
Warning : no SNPs found at position chr4:151724116. N ignored
Warning : no SNPs found at position chr15:46174916. N ignored
Warning : no SNPs found at position chr16:68790119. N ignored
Warning : no SNPs found at position chr16:68790121. N ignored
Warning : no SNPs found at position chr14:92437814. N ignored
Warning : no SNPs found at position chr7:107573712. N ignored
Warning : no SNPs found at position chr18:68257639. N ignored
Warning : no SNPs found at position chr7:116612992. N ignored
Warning : no SNPs found at position chr11:102581940. N ignored
Warning : no SNPs found at position chr3:7814471. N ignored
Warning : no SNPs found at position chr10:58897891. N ignored
Warning : no SNPs found at position chr3:36415810. N ignored
Warning : no SNPs found at position chr5:43034997. N ignored
Warning : no SNPs found at position chr9:33921432. N ignored
Warning : no SNPs found at position chr17:69614398. N ignored
Warning : no SNPs found at position chr7:48340979. N ignored
Warning : no SNPs found at position chr3:81287456. N ignored
Warning : no SNPs found at position chrX:72781274. N ignored
Warning : no SNPs found at position chr9:87113778. N ignored
Warning : no SNPs found at position chr17:50304274. N ignored
Warning : no SNPs found at position chr16:13508859. N ignored
Warning : no SNPs found at position chr11:49150693. N ignored
Warning : no SNPs found at position chr2:53382673. N ignored
Warning : no SNPs found at position chr4:144753349. N ignored
Warning : no SNPs found at position chr6:98079307. N ignored
Warning : no SNPs found at position chr1:88346023. N ignored
Warning : no SNPs found at position chrX:150757500. N ignored
Warning : no SNPs found at position chrX:54194786. N ignored
Warning : no SNPs found at position chr19:36107066. N ignored
Warning : no SNPs found at position chr12:54072669. N ignored
Warning : no SNPs found at position chr10:114410715. N ignored
Warning : no SNPs found at position chr10:114410716. N ignored
