BISCUITqc CpG Retention by Read Position Table
ReadInPair	Position	Conversion/Retention	Count
1	0	C	14021
1	0	R	12706
1	1	C	30619
1	1	R	25980
1	2	C	31488
1	2	R	26339
1	3	C	31922
1	3	R	29132
1	4	C	34354
1	4	R	30462
1	5	C	38369
1	5	R	40604
1	6	C	34194
1	6	R	40088
1	7	C	37698
1	7	R	37348
1	8	C	41385
1	8	R	57299
1	9	C	39331
1	9	R	62265
1	10	C	36269
1	10	R	43259
1	11	C	34278
1	11	R	41107
1	12	C	33590
1	12	R	46636
1	13	C	50507
1	13	R	54882
1	14	C	48211
1	14	R	63194
1	15	C	31294
1	15	R	108953
1	16	C	31467
1	16	R	106501
1	17	C	30419
1	17	R	73465
1	18	C	32252
1	18	R	103100
1	19	C	31862
1	19	R	91905
1	20	C	33156
1	20	R	52677
1	21	C	33391
1	21	R	48240
1	22	C	34415
1	22	R	46744
1	23	C	32117
1	23	R	45707
1	24	C	33113
1	24	R	47796
1	25	C	34471
1	25	R	55997
1	26	C	34850
1	26	R	66725
1	27	C	32343
1	27	R	64957
1	28	C	31305
1	28	R	50429
1	29	C	30326
1	29	R	45959
1	30	C	31797
1	30	R	45759
1	31	C	31323
1	31	R	44710
1	32	C	30771
1	32	R	46108
1	33	C	30488
1	33	R	45445
1	34	C	31566
1	34	R	46378
1	35	C	29826
1	35	R	48059
1	36	C	29773
1	36	R	49592
1	37	C	29319
1	37	R	51044
1	38	C	29445
1	38	R	50639
1	39	C	29574
1	39	R	50010
1	40	C	29205
1	40	R	48487
1	41	C	29639
1	41	R	46743
1	42	C	29705
1	42	R	46818
1	43	C	29113
1	43	R	48920
1	44	C	29995
1	44	R	49632
1	45	C	29690
1	45	R	50385
1	46	C	28998
1	46	R	51202
1	47	C	29260
1	47	R	50095
1	48	C	28665
1	48	R	47118
1	49	C	28929
1	49	R	47169
1	50	C	28694
1	50	R	45971
1	51	C	29177
1	51	R	44332
1	52	C	29377
1	52	R	44544
1	53	C	28889
1	53	R	45102
1	54	C	28964
1	54	R	44811
1	55	C	29133
1	55	R	44737
1	56	C	28754
1	56	R	44926
1	57	C	29131
1	57	R	44593
1	58	C	28773
1	58	R	44410
1	59	C	29101
1	59	R	43089
1	60	C	28640
1	60	R	43217
1	61	C	28478
1	61	R	42711
1	62	C	28943
1	62	R	43257
1	63	C	28201
1	63	R	43440
1	64	C	28518
1	64	R	44145
1	65	C	28473
1	65	R	44878
1	66	C	28199
1	66	R	45171
1	67	C	28076
1	67	R	45949
1	68	C	27809
1	68	R	46200
1	69	C	28183
1	69	R	45397
1	70	C	27815
1	70	R	46144
1	71	C	27170
