BISCUITqc CpG Retention by Read Position Table
ReadInPair	Position	Conversion/Retention	Count
1	0	C	15950
1	0	R	14472
1	1	C	33419
1	1	R	29082
1	2	C	34218
1	2	R	30717
1	3	C	34870
1	3	R	33691
1	4	C	37031
1	4	R	35694
1	5	C	40769
1	5	R	45282
1	6	C	37664
1	6	R	46098
1	7	C	42076
1	7	R	39806
1	8	C	46534
1	8	R	64891
1	9	C	43639
1	9	R	70533
1	10	C	39677
1	10	R	46779
1	11	C	36044
1	11	R	42893
1	12	C	35487
1	12	R	47062
1	13	C	44066
1	13	R	52175
1	14	C	43855
1	14	R	57032
1	15	C	35818
1	15	R	82027
1	16	C	35144
1	16	R	81509
1	17	C	34735
1	17	R	66092
1	18	C	35502
1	18	R	81287
1	19	C	35065
1	19	R	77185
1	20	C	36341
1	20	R	55067
1	21	C	36730
1	21	R	51658
1	22	C	37315
1	22	R	50358
1	23	C	35727
1	23	R	50469
1	24	C	35951
1	24	R	51164
1	25	C	37151
1	25	R	56248
1	26	C	37932
1	26	R	63010
1	27	C	36253
1	27	R	61520
1	28	C	35924
1	28	R	53002
1	29	C	35280
1	29	R	51575
1	30	C	35937
1	30	R	51391
1	31	C	36032
1	31	R	51571
1	32	C	35797
1	32	R	54286
1	33	C	35682
1	33	R	52375
1	34	C	36485
1	34	R	52060
1	35	C	35864
1	35	R	52511
1	36	C	36020
1	36	R	53568
1	37	C	35690
1	37	R	54184
1	38	C	35733
1	38	R	54483
1	39	C	36369
1	39	R	53875
1	40	C	35765
1	40	R	53176
1	41	C	35847
1	41	R	53056
1	42	C	35733
1	42	R	53041
1	43	C	35677
1	43	R	53031
1	44	C	36013
1	44	R	54183
1	45	C	35958
1	45	R	54042
1	46	C	35717
1	46	R	54271
1	47	C	35838
1	47	R	53611
1	48	C	35652
1	48	R	52721
1	49	C	35436
1	49	R	51808
1	50	C	35877
1	50	R	52316
1	51	C	35522
1	51	R	51203
1	52	C	35895
1	52	R	51541
1	53	C	35285
1	53	R	51446
1	54	C	35255
1	54	R	52140
1	55	C	35381
1	55	R	51767
1	56	C	35390
1	56	R	52058
1	57	C	35828
1	57	R	51773
1	58	C	35172
1	58	R	51293
1	59	C	35055
1	59	R	50592
1	60	C	35360
1	60	R	50611
1	61	C	35147
1	61	R	50444
1	62	C	34905
1	62	R	50260
1	63	C	34920
1	63	R	50039
1	64	C	34387
1	64	R	50111
1	65	C	34679
1	65	R	50589
1	66	C	34351
1	66	R	50332
1	67	C	34574
1	67	R	50040
1	68	C	34054
1	68	R	50647
1	69	C	33874
1	69	R	50037
1	70	C	34043
1	70	R	50052
1	71	C	33576
1	71	R	49732
1	72	C	33920
1	72	R	49538
1	73	C	33495
1	73	R	49584
1	74	C	33195
1	74	R	49826
1	75	C	33597
1	75	R	49837
1	76	C	33278
1	76	R	49494
