All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                           meta_contigs_1  meta_contigs_2
# misassemblies                    0               1             
    # relocations                  0               1             
    # translocations               0               0             
    # inversions                   0               0             
    # interspecies translocations  2               1             
# misassembled contigs             0               1             
Misassembled contigs length        0               54221         
# possibly misassembled contigs    0               0             
    # possible misassemblies       0               0             
# local misassemblies              0               0             
# scaffold gap size misassemblies  0               0             
# unaligned mis. contigs           0               0             
# mismatches                       14              15            
# indels                           0               0             
    # indels (<= 5 bp)             0               0             
    # indels (> 5 bp)              0               0             
Indels length                      0               0             
