n_genes_by_counts	total_counts	cellrank_n_genes_by_counts	cellrank_total_counts	cell_index
1838	639.5011	515	1	1
1838	578.8919	1818	2	2
1838	511.4415	1958	3	3
1838	461.3901	1558	4	4
1838	388.23987	1118	5	5
1838	361.081	1964	6	6
1838	341.0904	837	7	7
1838	310.5556	1269	8	8
1838	308.1949	2295	9	9
1838	300.4162	597	10	10
1838	297.8435	2189	11	11
1838	289.59262	286	12	12
1838	285.02502	1142	13	13
1838	283.5684	1181	14	14
1838	279.20764	1243	15	15
1838	269.75287	226	16	16
1838	265.4452	2334	17	17
1838	264.03094	25	18	18
1838	263.18143	69	19	19
1838	262.39154	1483	20	20
1838	258.07004	519	21	21
1838	252.96832	2089	22	22
1838	250.2886	191	23	23
1838	249.0203	1027	24	24
1838	248.48378	17	25	25
1838	247.36133	1183	26	26
1838	246.30667	887	27	27
1838	245.33842	1708	28	28
1838	244.82684	1639	29	29
1838	240.5872	690	30	30
1838	240.30289	2396	31	31
1838	240.25041	1787	32	32
1838	236.428	1220	33	33
1838	232.07408	2054	34	34
1838	231.76051	2190	35	35
1838	229.00713	1507	36	36
1838	227.61847	2061	37	37
1838	226.26038	1872	38	38
1838	223.30823	2164	39	39
1838	220.20673	2602	40	40
1838	219.19	31	41	41
1838	218.49707	1086	42	42
1838	217.64288	2357	43	43
1838	216.04077	1042	44	44
1838	213.99225	618	45	45
1838	213.01373	1991	46	46
1838	211.22052	1566	47	47
1838	211.01797	1100	48	48
1838	209.5496	596	49	49
1838	208.5556	1785	50	50
1838	207.96393	562	51	51
1838	206.81259	2577	52	52
1838	205.0479	1305	53	53
1838	205.00655	1718	54	54
1838	201.2159	1890	55	55
1838	200.79013	722	56	56
1838	200.47375	934	57	57
1838	198.37502	1321	58	58
1838	197.67825	1159	59	59
1838	197.43652	27	60	60
1838	196.88345	1263	61	61
1838	195.2916	2227	62	62
1838	193.34567	925	63	63
1838	191.72504	856	64	64
1838	191.3772	119	65	65
1838	191.09204	127	66	66
1838	190.62259	79	67	67
1838	189.6268	173	68	68
1838	187.87886	1141	69	69
1838	184.17293	2530	70	70
1838	182.78793	1113	71	71
1838	182.62543	2225	72	72
1838	182.31638	2221	73	73
1838	181.85257	679	74	74
1838	180.73575	2159	75	75
1838	177.34769	1064	76	76
1838	177.04144	1223	77	77
1838	176.74902	1698	78	78
1838	176.73169	1166	79	79
1838	175.54979	626	80	80
1838	175.15988	1215	81	81
1838	174.9121	319	82	82
1838	174.60153	2409	83	83
1838	172.25713	2404	84	84
1838	171.84006	213	85	85
1838	170.75142	1129	86	86
1838	170.69467	832	87	87
1838	169.67691	1888	88	88
1838	168.45175	2502	89	89
1838	168.36905	739	90	90
1838	166.62563	1509	91	91
1838	166.00833	2555	92	92
1838	165.98935	791	93	93
1838	165.84836	135	94	94
1838	165.76846	762	95	95
1838	165.4996	788	96	96
1838	164.9387	1389	97	97
1838	164.89272	402	98	98
1838	164.5285	607	99	99
1838	164.28734	163	100	100
1838	163.77887	2419	101	101
1838	163.46689	694	102	102
1838	163.1463	2011	103	103
1838	162.3731	1835	104	104
1838	162.29935	2157	105	105
1838	162.07857	2335	106	106
1838	161.98361	2542	107	107
1838	161.66304	2096	108	108
1838	161.09251	2472	109	109
1838	160.16974	1350	110	110
1838	158.74387	171	111	111
1838	158.60742	545	112	112
1838	158.2932	102	113	113
1838	157.44565	2430	114	114
1838	156.8086	2329	115	115
1838	156.36967	1306	116	116
1838	155.39648	48	117	117
1838	154.14859	1650	118	118
1838	153.51715	1950	119	119
1838	153.38565	751	120	120
1838	153.28665	1854	121	121
1838	153.20358	1254	122	122
1838	152.65051	1419	123	123
1838	151.6717	255	124	124
1838	150.6211	494	125	125
1838	149.45636	882	126	126
1838	149.16147	254	127	127
1838	148.21451	2085	128	128
1838	147.81204	1019	129	129
1838	147.42915	1433	130	130
1838	147.37398	2203	131	131
1838	146.64526	2149	132	132
1838	146.46283	1855	133	133
1838	146.134	852	134	134
1838	145.73434	116	135	135
1838	145.43022	976	136	136
1838	144.72443	1101	137	137
1838	144.26813	168	138	138
1838	144.2663	1341	139	139
1838	143.81949	1329	140	140
1838	143.71216	768	141	141
1838	141.14151	1168	142	142
1838	140.69946	1871	143	143
1838	140.24655	1139	144	144
1838	139.22255	1217	145	145
1838	139.1836	2442	146	146
1838	138.67542	2018	147	147
1838	138.08565	1292	148	148
1838	137.79974	1417	149	149
1838	136.77255	2434	150	150
1838	136.41064	1908	151	151
1838	136.40218	921	152	152
1838	135.89388	1469	153	153
1838	135.8115	2425	154	154
1838	135.24	1863	155	155
1838	135.11697	1531	156	156
1838	134.79404	1703	157	157
1838	133.87411	649	158	158
1838	133.85318	2170	159	159
1838	133.51466	2383	160	160
1838	132.57468	1418	161	161
1838	132.28203	2004	162	162
1838	132.17772	2604	163	163
1838	131.82489	611	164	164
1838	131.54242	1104	165	165
1838	130.57384	2021	166	166
1838	130.48901	2367	167	167
1838	130.32576	553	168	168
1838	130.06982	2132	169	169
1838	130.05855	564	170	170
1838	130.01753	2226	171	171
1838	129.92703	1431	172	172
1838	129.72205	347	173	173
1838	129.4871	1524	174	174
1838	129.18329	811	175	175
1838	128.43332	1472	176	176
1838	127.97169	1178	177	177
1838	127.866974	1289	178	178
1838	127.79837	415	179	179
1838	127.664154	103	180	180
1838	126.884674	2486	181	181
1838	126.1688	954	182	182
1838	125.58563	2047	183	183
1838	125.44195	1251	184	184
1838	125.37425	1794	185	185
1838	123.90421	1583	186	186
1838	123.411514	1934	187	187
1838	122.944534	387	188	188
1838	122.45753	486	189	189
1838	121.63067	1117	190	190
1838	121.56775	755	191	191
1838	121.43189	1376	192	192
1838	120.77031	1690	193	193
1838	120.745316	1679	194	194
1838	120.29559	1670	195	195
1838	120.09788	199	196	196
1838	120.02411	714	197	197
1838	119.97888	485	198	198
1838	119.70067	1562	199	199
1838	118.48044	1194	200	200
1838	118.21888	2586	201	201
1838	117.930305	972	202	202
1838	117.92465	324	203	203
1838	117.65814	385	204	204
1838	117.65077	1452	205	205
1838	117.4893	659	206	206
1838	117.415665	308	207	207
1838	117.31376	2127	208	208
1838	116.8784	2538	209	209
1838	116.545044	1218	210	210
1838	116.53328	2543	211	211
1838	116.158356	526	212	212
1838	115.517	673	213	213
1838	115.41551	1919	214	214
1838	115.05214	1265	215	215
1838	114.64006	2336	216	216
1838	114.546074	2471	217	217
1838	114.171844	299	218	218
1838	113.7446	1629	219	219
1838	113.74245	1145	220	220
1838	113.62188	2446	221	221
1838	113.522255	2074	222	222
1838	113.38124	1441	223	223
1838	113.354225	133	224	224
1838	113.30629	1585	225	225
1838	113.29583	1059	226	226
1838	112.725426	1646	227	227
1838	112.21315	1193	228	228
1838	112.02658	845	229	229
1838	111.21709	2623	230	230
1838	111.19336	573	231	231
1838	110.916565	1320	232	232
1838	110.444664	2144	233	233
1838	110.25427	225	234	234
1838	109.53	836	235	235
1838	109.50461	39	236	236
1838	108.92037	272	237	237
1838	108.60807	2240	238	238
1838	107.1599	620	239	239
1838	106.4257	2253	240	240
1838	106.41103	1911	241	241
1838	106.19122	1812	242	242
1838	106.1274	99	243	243
1838	105.930786	2151	244	244
1838	105.70793	2495	245	245
1838	105.34398	2156	246	246
1838	105.129776	1699	247	247
1838	104.75777	801	248	248
1838	104.703705	46	249	249
1838	104.54573	1356	250	250
1838	103.68303	109	251	251
1838	103.59497	2496	252	252
1838	103.290565	379	253	253
1838	103.22313	1617	254	254
1838	103.06786	1095	255	255
1838	102.96312	677	256	256
1838	102.823425	1103	257	257
1838	102.67219	782	258	258
1838	102.45985	1838	259	259
1838	102.12933	438	260	260
1838	101.98746	959	261	261
1838	101.95321	946	262	262
1838	101.32982	2124	263	263
1838	101.21776	859	264	264
1838	101.16614	2516	265	265
1838	101.076416	1207	266	266
1838	101.02469	336	267	267
1838	101.0067	1821	268	268
1838	100.2551	477	269	269
1838	99.753006	2470	270	270
1838	99.45554	878	271	271
1838	99.22795	774	272	272
1838	99.134895	1534	273	273
1838	99.10742	2184	274	274
1838	98.90873	239	275	275
1838	98.84741	1391	276	276
1838	98.31452	2118	277	277
1838	96.93373	2420	278	278
1838	96.73552	1397	279	279
1838	96.53439	1966	280	280
1838	95.76435	833	281	281
1838	95.15469	1689	282	282
1838	94.85967	2576	283	283
1838	94.84781	57	284	284
1838	94.61238	1695	285	285
1838	94.34008	1648	286	286
1838	94.32882	2126	287	287
1838	94.32764	1952	288	288
1838	94.1838	49	289	289
1838	94.1436	1246	290	290
1838	93.83716	1049	291	291
1838	93.37401	1530	292	292
1838	93.20914	2034	293	293
1838	93.121635	1468	294	294
1838	92.73924	481	295	295
1838	92.276306	210	296	296
1838	92.13855	917	297	297
1838	91.979996	392	298	298
1838	91.89986	1416	299	299
1838	91.79398	2010	300	300
1838	91.608635	1456	301	301
1838	91.30626	1143	302	302
1838	90.81503	602	303	303
1838	90.52366	883	304	304
1838	90.47612	185	305	305
1838	90.20267	328	306	306
1838	90.069954	52	307	307
1838	90.05968	2311	308	308
1838	89.82876	2288	309	309
1838	89.792435	2300	310	310
1838	89.73996	504	311	311
1838	89.58714	50	312	312
1838	89.35062	498	313	313
1838	89.3058	1598	314	314
1838	89.178955	2243	315	315
1838	89.057655	508	316	316
1838	89.00037	2597	317	317
1838	88.838036	125	318	318
1838	88.42464	123	319	319
1838	88.174774	458	320	320
1838	87.17346	220	321	321
1838	87.036385	1150	322	322
1838	86.89831	2193	323	323
1838	86.861145	475	324	324
1838	86.52167	2359	325	325
1838	86.2941	1946	326	326
1838	85.699585	1940	327	327
1838	85.605515	731	328	328
1838	85.47243	2186	329	329
1838	85.40534	2008	330	330
1838	85.35239	846	331	331
1838	84.98764	1018	332	332
1838	84.5914	1831	333	333
1838	84.12623	1148	334	334
1838	83.771065	2262	335	335
1838	83.45781	516	336	336
1838	83.457405	1033	337	337
1838	83.438324	1711	338	338
1838	83.25456	664	339	339
1838	83.00247	71	340	340
1838	82.81358	1222	341	341
1838	82.791275	184	342	342
1838	82.65842	1132	343	343
1838	82.51167	1599	344	344
1838	82.50655	1333	345	345
1838	82.465515	506	346	346
1838	82.416016	651	347	347
1838	82.39213	1847	348	348
1838	82.21782	778	349	349
1838	82.1998	165	350	350
1838	81.94675	472	351	351
1838	81.80473	2595	352	352
1838	81.80449	759	353	353
1838	81.72191	2374	354	354
1838	81.64769	1918	355	355
1838	81.46466	1039	356	356
1838	81.401535	974	357	357
1838	81.370636	831	358	358
1838	81.04335	2116	359	359
1838	80.65308	2162	360	360
1838	80.62329	369	361	361
1838	80.51662	2386	362	362
1838	80.33888	1097	363	363
1838	80.25642	880	364	364
1838	79.96442	468	365	365
1838	79.1465	1369	366	366
1838	79.14323	1454	367	367
1838	78.73593	1582	368	368
1838	78.64978	2228	369	369
1838	78.44761	823	370	370
1838	78.265816	2580	371	371
1838	78.02558	2052	372	372
1838	78.01433	848	373	373
1838	77.82224	60	374	374
1838	77.462524	728	375	375
1838	77.4521	469	376	376
1838	77.390816	263	377	377
1838	77.35081	346	378	378
1838	77.08681	1378	379	379
1838	76.91058	227	380	380
1838	76.86449	2215	381	381
1838	76.82761	1561	382	382
