total_counts	n_genes_by_counts	cellrank_total_counts	cellrank_n_genes_by_counts	cell_index
578.0	159	3	1	1
624.0	151	2	2	2
497.0	148	8	3	3
440.0	143	18	4	4
752.0	140	1	5	5
400.0	140	36	6	6
565.0	137	4	7	7
452.0	135	14	8	8
410.0	132	29	9	9
452.0	128	15	10	10
477.0	124	10	11	11
500.0	124	7	12	12
399.0	123	38	13	13
471.0	122	11	14	14
527.0	122	6	15	15
274.0	122	188	16	16
358.0	121	54	17	17
391.0	119	40	18	18
433.0	119	19	19	19
383.0	118	43	20	20
412.0	117	27	21	21
400.0	117	37	22	22
375.0	117	49	23	23
385.0	117	41	24	24
350.0	116	61	25	25
344.0	116	67	26	26
320.0	115	101	27	27
404.0	115	34	28	28
546.0	115	5	29	29
298.0	114	140	30	30
424.0	114	23	31	31
426.0	113	22	32	32
336.0	113	74	33	33
336.0	112	75	34	34
447.0	111	17	35	35
384.0	111	42	36	36
318.0	111	103	37	37
325.0	110	88	38	38
376.0	110	47	39	39
329.0	109	84	40	40
448.0	109	16	41	41
331.0	109	82	42	42
334.0	109	76	43	43
409.0	109	30	44	44
327.0	109	86	45	45
345.0	108	65	46	46
299.0	108	136	47	47
310.0	107	111	48	48
490.0	107	9	49	49
251.0	106	262	50	50
412.0	106	28	51	51
461.0	106	12	52	52
406.0	106	33	53	53
313.0	106	106	54	54
377.0	105	46	55	55
433.0	105	20	56	56
420.0	105	24	57	57
373.0	104	50	58	58
409.0	103	31	59	59
322.0	103	98	60	60
347.0	103	63	61	61
272.0	103	196	62	62
358.0	103	56	63	63
243.0	102	286	64	64
300.0	101	134	65	65
454.0	101	13	66	66
182.0	101	591	67	67
337.0	101	73	68	68
354.0	100	59	69	69
430.0	100	21	70	70
228.0	100	347	71	71
260.0	99	230	72	72
312.0	99	107	73	73
291.0	99	153	74	74
308.0	98	120	75	75
283.0	98	169	76	76
265.0	98	213	77	77
258.0	98	237	78	78
308.0	97	118	79	79
309.0	97	116	80	80
308.0	97	121	81	81
321.0	97	99	82	82
282.0	97	172	83	83
273.0	97	193	84	84
414.0	97	26	85	85
417.0	97	25	86	86
306.0	96	123	87	87
284.0	96	166	88	88
241.0	96	290	89	89
236.0	96	316	90	90
240.0	96	297	91	91
283.0	95	167	92	92
262.0	95	222	93	93
259.0	95	232	94	94
