File name	example_aligned.bam
Number of alignments	20564409
% from total alignments	96.04
Number of reads	20235704
Yield [Gb]	15.34
Mean coverage	4.95
Yield [Gb] (>25kb)	1.89
N50	633
N75	527
Median length	539.00
Mean length	746.19

Median identity	99.41
Mean identity	99.02
Modal identity	100.0



# Normalized read count per chromosome

chr1	0.84
chr10	0.86
chr11	0.83
chr11_KI270721v1_random	0.32
chr12	0.83
chr13	0.76
chr14	0.70
chr14_GL000009v2_random	2.32
chr14_GL000194v1_random	2.75
chr14_GL000225v1_random	9.89
chr14_KI270722v1_random	1.38
chr14_KI270723v1_random	2.86
chr14_KI270724v1_random	2.36
chr14_KI270725v1_random	0.85
chr14_KI270726v1_random	0.09
chr15	0.69
chr15_KI270727v1_random	0.41
chr16	0.88
chr16_KI270728v1_random	0.41
chr17	0.82
chr17_GL000205v2_random	2.25
chr17_KI270729v1_random	2.92
chr17_KI270730v1_random	1.33
chr18	0.83
chr19	0.80
chr1_KI270706v1_random	1.18
chr1_KI270707v1_random	1.09
chr1_KI270708v1_random	0.55
chr1_KI270709v1_random	16.18
chr1_KI270710v1_random	1.41
chr1_KI270711v1_random	2.24
chr1_KI270712v1_random	1.00
chr1_KI270713v1_random	2.45
chr1_KI270714v1_random	0.69
chr2	0.84
chr20	0.86
chr21	0.78
chr22	0.64
chr22_KI270731v1_random	0.62
chr22_KI270732v1_random	2.46
chr22_KI270733v1_random	7.82
chr22_KI270734v1_random	0.92
chr22_KI270735v1_random	2.87
chr22_KI270736v1_random	2.10
chr22_KI270737v1_random	0.69
chr22_KI270738v1_random	1.24
chr22_KI270739v1_random	0.47
chr2_KI270715v1_random	0.64
chr2_KI270716v1_random	0.31
chr3	0.86
chr3_GL000221v1_random	1.75
chr4	0.84
chr4_GL000008v2_random	1.53
chr5	0.83
chr5_GL000208v1_random	1.36
chr6	0.83
chr7	0.83
chr8	0.83
chr9	0.73
chr9_KI270717v1_random	0.42
chr9_KI270718v1_random	1.25
chr9_KI270719v1_random	1.29
chr9_KI270720v1_random	1.51
chrM	71.44
chrUn_GL000195v1	1.40
chrUn_GL000213v1	0.31
chrUn_GL000214v1	2.26
chrUn_GL000216v2	5.17
chrUn_GL000218v1	1.08
chrUn_GL000219v1	2.27
chrUn_GL000220v1	9.71
chrUn_GL000224v1	5.20
chrUn_GL000226v1	22.07
chrUn_KI270302v1	0.59
chrUn_KI270303v1	0.56
chrUn_KI270304v1	0.22
chrUn_KI270305v1	0.91
chrUn_KI270310v1	9.72
chrUn_KI270311v1	1.41
chrUn_KI270315v1	0.11
chrUn_KI270316v1	0.17
chrUn_KI270317v1	0.05
chrUn_KI270320v1	2.95
chrUn_KI270322v1	0.31
chrUn_KI270329v1	0.94
chrUn_KI270330v1	17.16
chrUn_KI270333v1	93.62
chrUn_KI270334v1	4.80
chrUn_KI270335v1	1.04
chrUn_KI270336v1	42.45
chrUn_KI270337v1	112.98
chrUn_KI270338v1	0.34
chrUn_KI270340v1	18.49
chrUn_KI270362v1	0.76
chrUn_KI270363v1	1.21
chrUn_KI270364v1	0.60
chrUn_KI270366v1	0.75
chrUn_KI270371v1	0.17
chrUn_KI270372v1	0.52
chrUn_KI270373v1	0.25
chrUn_KI270374v1	0.23
chrUn_KI270375v1	0.36
chrUn_KI270376v1	0.21
chrUn_KI270378v1	0.23
chrUn_KI270379v1	0.23
chrUn_KI270381v1	0.38
